9191520
/m/027_rlr
/m/027_rlr
Brian Cleeve
1972
{"/m/05hgj": "Novel"}
a 23
able 1
about 1
act 1
activities 1
affected 1
after 1
all 1
along 1
among 1
an 1
and 14
another 1
anxious 1
are 1
aristocrat 1
arrests 1
as 8
at 3
attack 1
attention 2
attract 1
bachelor 1
bad 1
band 1
be 3
became 1
become 1
been 4
before 1
began 1
behind 1
being 1
belfast 1
benedict 1
british 1
brothers 1
by 2
carmody 1
changing 1
chapter 1
clear 1
community 1
concern 1
conroy 1
consequences 1
credentials 1
darkness 2
daughter 1
day 1
days 1
dead 1
developing 1
develops 1
diminishing 1
disapproval 1
discouraged 1
do 1
dog 1
doing 1
eagan 2
earlier 1
earning 1
elderly 1
elements 1
employment 1
england 1
entire 1
escape 1
escapee 1
establish 1
estate 1
evening 1
events 2
everyone 1
explains 1
extremists 1
falls 1
farm 2
farmers 1
fears 1
few 1
final 1
fires 1
fish 6
fled 1
flee 1
focus 1
folksinger 1
followers 1
for 2
found 2
fraught 1
free 1
friend 1
from 1
gaelicised 1
gaol 1
government 1
group 2
grow 1
gun 1
had 1
handyman 1
happened 1
has 8
have 3
he 7
her 2
hiding 1
him 1
his 8
hotel 4
how 1
however 2
hubert 2
idea 1
in 14
industrial 1
into 5
investigation 1
investors 1
involved 2
involvement 1
ireland 3
is 7
it 2
jenny 2
job 1
johnny 1
join 1
kershaw 2
known 1
land 2
late 1
lead 1
leader 1
learn 1
life 1
little 1
live 1
living 3
local 8
locality 1
locals 1
located 1
longer 1
love 1
maelchonaire 7
major 1
makes 1
man 1
manages 1
matty 1
mcmenamin 2
michael 9
might 1
minister 1
mortally 1
much 1
mulcahy 1
must 1
name 1
nerves 1
news 1
next 1
night 1
no 2
norwegian 1
novel 1
now 2
number 1
of 15
older 1
on 4
one 2
opens 1
order 1
out 1
outside 1
owned 1
paranoia 1
parents 1
paris 1
part 2
passed 1
patriotic 1
peadar 1
persuade 1
philip 3
place 1
plot 1
police 2
policeman 1
politician 1
politics 1
portion 1
power 1
powers 1
pressured 1
project 1
protestant 1
protestants 1
question 1
quiet 1
radical 1
reasons 1
refuses 1
relationship 1
release 2
released 2
reluctant 1
republican 3
resent 1
returned 1
rife 1
room 1
ross 3
rumours 1
sabotage 1
school 1
sea 1
seagrun 1
sergeant 2
series 1
serious 1
set 1
several 2
shot 1
sir 3
small 2
so 1
sold 2
soldier 1
sons 2
spreads 1
stage 1
still 1
stock 1
streets 1
stud 1
student 1
stumbles 1
subversive 1
suspects 1
suspicion 1
take 1
tells 1
terms 1
that 8
the 32
their 3
them 1
there 2
they 5
thinking 1
this 1
those 1
through 1
to 19
tragic 1
train 1
turned 1
turns 1
two 2
upon 1
use 1
very 1
virtual 1
visits 1
walking 1
way 1
we 1
welcome 1
were 2
what 2
when 1
where 1
while 1
who 1
will 1
wiser 1
with 2
wood 1
would 1
wounding 1
year 2
years 2
young 1
