27615438
/m/0c3zg4m
/m/0c3zg4m
Andy Lane
2010-06-04
a 13
after 2
age 1
alight 1
almost 1
along 1
although 1
american 1
amyus 1
an 3
and 20
are 2
army 2
arnatt 1
around 2
as 2
attacked 1
aunt 1
barge 1
baron 6
bee 1
befriends 1
body 3
boxing 1
boy 1
british 2
brother 2
building 1
busy 1
by 4
cannot 2
chases 1
cloud 2
countryside 1
crowe 4
daughter 1
days 2
dead 1
death 3
deceased 1
destination 1
destroy 1
detects 1
determine 1
determines 1
dies 1
discover 1
discovers 2
diseases 1
down 1
during 1
escape 1
escapes 1
estate 2
exotic 1
expert 1
fair 1
father 1
few 2
finds 1
first 1
follow 1
for 1
forced 1
france 1
from 3
further 1
go 3
government 1
guildford 2
had 1
hampshire 1
has 4
he 11
headquarters 1
help 2
him 1
hired 1
his 12
holidays 2
holmes 4
home 4
identify 1
in 5
interrogated 2
involving 1
is 10
it 3
kidnapped 2
knowing 1
later 1
left 1
lesson 1
links 1
live 1
locate 2
london 2
lured 1
make 1
manor 1
match 1
matty 7
maupertuis 1
meet 1
meets 1
might 1
mother 1
must 1
mycroft 2
named 2
nevertheless 1
of 5
older 1
on 3
one 1
out 2
over 1
overseas 1
own 1
pair 2
participate 1
pollen 1
powdery 1
previously 1
rescued 1
returning 1
same 1
sample 1
school 1
seen 1
sent 2
series 1
set 2
sets 1
sherlock 6
shipping 1
soon 1
stop 1
substance 3
surrounding 2
takes 1
that 6
the 25
their 1
therefore 1
they 3
to 13
together 1
tracks 1
travel 1
trying 1
tutor 3
uncle 1
unexpectedly 1
unknown 1
unseen 1
until 1
unusual 2
unwell 1
up 1
villains 2
virginia 3
visits 1
wandering 1
warehouse 2
way 1
weapon 1
wharf 1
when 2
where 2
which 2
who 2
with 5
witnessed 1
witnesses 1
working 1
yellow 3
