14185891
/m/03cx629
/m/03cx629
Neal Asher
2007-07-06
2 1
a 8
advances 1
after 1
against 1
ai 1
alien 1
alliance 1
allowing 1
also 1
an 2
and 8
appearances 1
are 2
armed 1
around 2
artifact 2
as 1
assault 1
assessor 1
at 1
attitudes 1
be 2
been 2
began 1
being 1
between 2
bodies 1
both 1
brumal 3
brumellian 1
brumellians 1
by 2
can 1
causes 1
century 1
changes 1
cities 1
combine 1
come 1
completely 1
conflict 2
consul 1
contact 2
contain 1
create 1
david 1
defence 1
describes 1
destroying 1
devastated 1
different 1
diplomat 1
diplomatic 1
discovered 1
dominant 1
doubted 1
drone 1
during 1
each 1
empire 1
enabled 1
eventually 1
facilities 1
faction 1
factions 1
final 1
fleet 2
following 1
for 3
from 2
gave 1
genocidal 1
governed 1
granted 1
gravtech 1
had 3
hand 1
have 2
hence 1
hilldiggers 4
hooper 1
hostile 1
human 1
in 6
including 1
inhabitants 1
initial 1
interstellar 1
is 2
isolated 1
justifications 1
large 1
long 1
made 1
majority 1
make 2
many 3
mccrooger 1
mile 1
most 2
mountain 1
much 1
name 1
named 1
navy 1
near 1
nearly 2
new 1
nicknamed 1
novel 1
observed 1
of 12
officially 1
on 1
once 1
orbital 1
orbiting 1
order 1
other 1
out 1
over 1
part 1
planet 1
planetary 1
planets 1
polity 2
powerful 3
questioned 1
quite 1
ranges 1
remain 1
rendering 1
research 1
responsible 1
revolves 1
secretly 1
ships 1
so 1
societies 1
spacestations 1
spatterjay 1
started 1
story 1
study 1
sudoria 4
sudorian 2
sudorianbrumallian 2
sudorians 2
surface 2
surveillance 1
survive 1
system 3
taken 1
tandard 1
technological 1
that 3
the 36
their 3
them 2
these 2
they 2
this 1
tigger 1
time 2
to 7
two 2
upper 1
used 1
vessels 1
war 6
weapons 2
were 2
when 1
while 1
who 3
win 1
wiped 1
with 2
worlds 1
worm 2
