13253892
/m/03b_fv1
/m/03b_fv1
Ashok Banker
2005
{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 40
abdicated 1
able 1
about 1
absolutely 1
accept 1
according 1
act 1
acting 1
actually 2
adamantly 2
advances 1
after 2
again 1
against 3
agrees 2
airborne 1
akshay 2
alike 1
alive 1
all 1
alliances 1
allotted 1
allow 1
allowed 1
allows 1
along 1
also 1
although 1
amazed 1
amazement 1
an 9
and 54
anjana 2
annihilated 1
another 1
anxiously 1
any 1
anything 1
anyway 1
apparently 1
appeared 1
appears 4
approaching 1
approximately 1
apsara 3
are 5
area 1
areas 1
armed 1
armies 1
army 7
arrive 1
arrives 1
arriving 2
as 21
aside 1
asks 2
astonishment 1
at 3
attacks 1
attempt 2
attempts 2
awakening 1
awry 1
back 3
backbreaking 1
battle 1
battlefield 1
be 4
bear 1
bears 3
beauty 1
been 3
before 3
beginning 1
begins 6
behalf 1
being 4
beings 1
believe 1
believes 1
believing 1
beneath 1
birth 1
blessings 1
boats 1
body 2
bound 1
brahmastra 1
brainwashed 1
break 1
breaks 1
bridge 4
bridgebuilding 2
brief 1
brings 2
brought 1
building 1
buildings 1
burning 2
but 14
by 19
calls 1
came 1
cannot 1
capable 2
captured 1
carry 1
cave 1
celestial 1
celibacy 1
chop 1
citing 1
city 1
clansmen 1
clutches 1
code 1
collected 2
commander 1
committing 1
complete 2
completely 1
completion 1
condemned 1
conduct 1
confused 1
consume 1
consummate 1
contingent 1
continue 1
continues 3
control 2
controlling 1
corporeal 1
courage 1
court 3
coward 1
create 2
created 1
creating 1
creature 2
cross 1
crush 2
crushed 1
curse 1
cursed 2
dancer 1
dasharatha 1
dawn 1
days 1
death 3
debt 1
decide 1
decides 2
decision 2
deeply 1
defeat 1
descends 1
describe 1
despite 3
destroy 2
destroying 1
destroys 1
detects 1
deva 2
develop 1
didnt 1
die 1
direction 1
discovery 1
discussion 1
disguise 1
disgusted 1
divine 1
does 3
domain 1
douses 1
down 3
drugged 1
during 1
each 1
earlier 1
eaten 1
edge 1
efficient 1
emissary 2
encounters 1
end 2
enormous 1
enough 2
ensues 1
escape 2
event 1
events 3
ever 1
every 2
exactly 1
exchange 1
exile 1
expands 1
explains 1
exploits 1
extolling 1
extraordinary 1
face 1
fallen 1
fear 1
feat 2
feel 1
feeling 1
feelings 1
feels 1
female 2
fighting 1
fights 1
finally 1
finds 2
fine 1
fire 2
flames 1
flatly 2
flies 1
flight 1
flying 1
foiled 1
following 1
fool 1
for 12
force 1
forces 2
form 2
formed 1
found 1
framed 1
free 1
from 5
front 1
furious 1
further 2
garden 4
gathered 1
gathering 1
gave 1
generals 1
generation 1
genocidal 1
gigantic 1
give 1
given 1
gladly 1
go 2
god 1
going 1
groggy 1
ground 1
grove 1
grows 1
guard 1
guest 1
guides 1
had 5
hand 1
hanuman 41
has 3
have 4
having 1
he 38
heaven 1
heavy 1
held 1
help 4
her 23
herself 1
hides 1
highest 1
hillside 1
him 20
himself 3
his 27
history 2
honored 1
hordes 1
horrorstricken 1
how 1
however 5
huge 2
humans 1
husband 1
if 3
immediately 1
impasse 1
impossible 1
in 20
incantation 1
incensed 1
incident 1
including 1
increase 1
indra 2
indrajit 3
initially 3
instead 1
instructions 1
intervene 1
intervenes 1
into 4
irritated 1
is 29
it 3
jambavan 5
jambumali 1
janayasena 1
joined 1
judgment 1
judicial 1
kesari 1
kidnapping 1
kill 2
killed 2
killing 2
king 2
kingship 1
kishkindha 1
known 1
knows 1
kumar 2
lady 2
lair 1
lakshman 3
lanka 9
large 2
lastsecond 1
later 1
leap 1
led 1
left 1
length 1
levelheadedly 1
life 2
lift 1
like 1
listens 1
literally 2
lives 1
living 2
long 1
loophole 1
love 1
loved 1
lover 1
made 3
maimed 1
mainika 1
mainland 1
makes 5
male 1
mandodhari 3
many 2
married 1
mashed 1
mashes 1
massive 1
master 1
mastership 1
match 1
maya 1
meditate 1
meditates 1
meditating 1
meditation 1
meets 1
memory 1
messenger 2
met 2
miles 1
mist 1
mithila 1
mockery 1
monkeys 1
more 3
morning 2
most 2
mother 2
mountain 1
much 1
murder 2
murderer 1
mutilate 1
mysterious 1
nala 1
name 1
named 1
nears 1
need 2
nevertheless 3
new 1
night 2
no 2
noble 1
none 2
noone 1
not 7
now 1
number 1
occurred 1
occurs 1
ocean 4
of 65
off 4
offers 1
old 1
on 9
once 1
one 3
only 1
opium 1
opposite 1
or 1
order 2
orders 4
other 4
out 4
over 5
owes 1
own 1
palm 1
paraded 1
part 3
perform 1
period 1
physically 1
pieces 1
place 1
pleased 1
plotted 1
ploy 1
point 2
potential 1
power 1
powerful 2
prahasta 1
prayers 1
precious 1
presence 2
previous 1
process 1
protest 1
punjikasthala 1
pushpak 1
put 1
puts 1
race 1
rage 1
rakshasas 1
rakshasi 2
rama 22
rampage 1
rapid 1
rapidly 1
ravana 18
readily 1
ready 1
reality 1
realizes 2
reason 1
recalls 1
recognizes 2
recommendation 1
recount 1
recounts 1
refuse 1
refused 1
refuses 3
regard 1
regarding 1
regards 1
reinforcements 1
relents 1
rely 1
remain 1
repeat 1
reproaches 1
reproves 1
requests 1
rescue 2
rest 1
