6257377
/m/0fz75c
/m/0fz75c
Michael Swanwick
2002
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
21st 1
65 1
a 20
ability 1
act 1
actually 1
age 2
ago 1
all 2
already 1
also 4
alter 1
altered 1
alternately 1
ambitious 1
an 6
and 19
anomaly 1
apart 1
apparent 1
are 2
areas 1
arrives 1
as 4
ashes 1
at 3
attempts 1
attenuations 1
audaciously 1
avian 1
away 1
back 2
based 1
be 6
become 2
becomes 1
becoming 1
been 2
before 1
beg 1
begins 1
being 1
beings 1
benefactors 1
bone 2
both 1
broken 1
brutally 1
but 1
by 1
can 1
causing 1
center 1
century 2
cherished 1
chicxulub 1
chief 1
close 1
colleague 1
colleagues 1
come 2
commands 1
community 1
concern 1
consequences 2
contract 1
controlled 1
converse 1
cooler 2
could 4
creation 1
creatures 2
cretaceouspaleogene 1
crossroads 1
crust 1
dangerous 1
deafening 1
decade 1
decide 1
deep 1
deeply 1
despised 1
destined 1
determined 1
detune 1
die 1
difficulty 1
dinosaur 2
dinosaurs 3
disastrous 1
discovers 1
discovery 1
disturbingly 1
does 1
down 1
dr 1
driven 1
earth 3
edge 1
emerge 1
end 1
enterprise 1
enters 1
entrusted 1
environment 1
era 2
event 1
events 1
ever 1
everything 1
evolved 1
explanation 1
extinction 2
extraordinary 1
failed 1
fantasies 1
far 1
farfuture 1
farm 1
fascination 1
fearless 1
few 1
finally 1
first 1
focuses 1
for 7
forbidden 1
forgive 1
forgotten 1
fossil 1
freedom 1
freshly 1
from 5
future 1
genius 1
genuinely 1
gertrude 3
gift 2
great 1
green 1
griffin 4
groundbreaking 1
had 1
hands 2
happen 3
happily 1
harry 1
has 3
have 1
having 1
he 1
head 1
herself 1
him 1
his 2
history 1
however 1
human 3
humanity 2
hurt 1
ice 1
if 1
impossible 1
in 19
incomprehensible 2
indeed 1
individual 1
infrasound 1
inherited 1
inscrutable 1
interestingly 1
irrelevant 1
is 9
it 3
its 2
job 2
junctures 1
killed 1
known 3
largest 1
law 1
lead 1
learn 1
learning 1
leyster 4
lived 1
lives 1
living 1
loan 1
love 2
lover 1
lure 1
maastrichtian 2
make 2
makes 1
matter 2
may 1
means 1
mechanics 1
mechanisms 1
meet 2
meets 1
members 1
men 2
mercifully 1
mesozoic 2
meteor 1
might 1
migrate 1
migration 1
millions 2
misguided 1
most 2
museum 1
mysterious 1
named 1
natural 1
nemesis 1
new 1
no 2
not 3
nothing 1
now 1
null 1
of 27
offer 1
office 1
older 2
on 4
one 4
only 1
or 3
out 1
own 2
paleontologist 1
pangea 1
paradox 2
passionate 1
past 1
pastures 1
people 1
pinnacle 1
planet 1
plates 1
plus 1
point 1
position 1
possibility 1
predator 1
preparing 1
prey 2
profession 1
project 1
publish 1
purpose 1
pushing 1
race 2
ranch 1
rationally 1
reached 1
reality 1
realizes 1
reasons 1
rebel 1
recorded 1
relentlessly 1
remarkable 1
remove 1
rendering 1
rescue 1
research 1
responsible 1
resulting 1
retained 1
retroactively 1
richard 2
right 1
rival 1
salley 3
savage 1
science 1
sciences 1
secretive 1
select 1
shake 1
she 1
shifting 1
shut 1
similarly 1
simply 1
singing 1
single 1
site 1
slowly 1
smithsonian 1
so 2
some 1
something 1
song 3
species 2
speculated 1
split 1
starve 1
stegosaurus 1
stipulation 1
stranded 1
stranger 1
streams 1
struggling 1
study 2
such 1
supercontinent 1
supposed 1
sure 1
taboo 1
tamper 1
tangles 1
team 6
technology 1
tectonic 1
telezoic 1
temporal 1
terrifying 1
that 10
the 67
their 8
them 1
themselves 1
then 1
there 3
thereby 1
they 5
this 1
throughout 1
tight 1
time 8
timeline 2
to 23
trapped 1
travel 4
trespassing 1
true 1
trusted 1
turn 1
two 2
ultima 1
ultimate 1
unchanging 4
undisclosed 1
unique 1
unselfish 1
until 1
up 2
upon 2
various 2
version 2
versions 1
void 1
was 2
way 1
what 2
when 1
who 3
whole 1
will 1
with 7
women 1
word 1
working 1
world 3
wrong 1
years 4
younger 2
