5355319
/m/0dh2fh
/m/0dh2fh
Louis Sachar
1987
a 7
about 1
all 2
along 1
also 1
always 1
and 4
angry 1
appear 1
as 2
attempt 1
back 1
because 1
behavior 1
book 1
boy 1
bradley 6
bullies 2
but 2
came 1
carla 1
chalkers 1
changes 2
classmates 1
complete 1
constantly 1
counsler 1
davis 1
does 3
dont 1
end 1
exception 1
f 1
family 1
father 1
fifth 2
fitakapulpetin 1
friend 1
from 1
get 1
gets 4
grade 2
happy 1
has 2
have 1
he 6
held 1
her 1
him 3
his 8
homework 1
house 2
in 3
invariably 1
is 2
jeff 1
largely 1
leave 1
lies 2
life 2
little 1
made 1
making 1
mom 1
mother 1
name 1
named 1
not 2
of 2
often 1
oldest 1
on 1
papers 1
parents 1
performs 1
poika 1
poorly 1
problems 1
pupil 1
result 1
school 2
serious 1
she 1
sister 1
studies 1
teases 1
telling 1
that 1
the 7
they 1
this 2
time 1
to 5
troubled 1
undo 1
unsupported 1
well 1
when 2
white 1
who 1
with 1
year 1
