13127508
/m/02z7r16
/m/02z7r16
Naomi Klein
2007-09-04
{"/m/05h83": "Non-fiction"}
1 1
17 1
170s 2
2 1
21 1
3 1
4 1
5 1
6 1
7 1
a 11
about 3
according 1
activists 1
africa 2
after 1
against 2
agencies 2
agency 1
aggressive 1
already 1
america 2
american 1
an 2
and 14
apparent 1
appear 1
applied 3
apply 1
are 4
as 5
asian 1
assertion 1
associated 1
attempted 1
attempts 1
augusto 1
author 1
authorities 1
back 1
backlash 1
bank 1
be 1
been 2
before 1
begins 1
being 1
better 1
between 1
blank 1
body 1
bolivia 1
book 2
but 1
by 6
cameron 1
campaigning 1
capitalism 1
central 1
chapter 2
chapters 1
charisma 1
chicago 1
chile 1
china 1
collusion 1
combination 1
committed 1
communities 1
communityminded 1
companies 1
complex 1
comprehensive 1
conclusion 2
conducted 1
context 1
corporations 1
coup 1
covers 1
covert 1
create 2
crises 1
crisis 1
cruelty 1
decaying 1
declining 1
depression 1
describes 3
destruction 1
developing 1
digression 1
disaster 1
disasters 1
discusses 2
distorting 1
divided 1
do 1
doctrine 8
due 1
during 1
easily 1
economic 7
economics 1
economies 3
effective 1
electric 1
essential 1
even 1
ever 1
ewen 1
examined 1
existing 1
experiments 1
explained 1
explaining 1
explored 1
extreme 1
falklands 1
financial 1
focusing 1
for 4
free 4
freemarket 1
frequently 1
friedman 1
from 3
fullscale 1
gated 1
general 1
government 2
great 1
groups 1
harnessed 1
has 5
have 2
her 1
his 1
historical 1
history 1
how 6
human 1
hurricane 1
ideal 1
ill 1
imf 1
implementation 1
implemented 1
in 11
including 1
incomes 1
increased 2
ineffectual 1
infrastructure 1
institutions 1
intelligence 1
into 2
introduces 3
introduction 2
iraq 1
is 5
it 4
its 1
jeffrey 1
katrina 1
klein 4
large 1
last 1
leading 1
learned 1
learnt 1
lebanon 1
led 1
left 1
less 1
lessons 1
like 1
losers 1
lucrative 1
luxurious 1
made 3
main 2
margaret 1
market 3
markets 1
mentally 1
mention 1
mild 1
milton 1
more 1
most 1
move 1
movement 2
moving 1
narrow 1
necessity 1
need 1
new 1
news 1
occupation 1
of 18
often 3
on 5
order 1
original 2
orleans 1
parallels 1
part 7
partially 1
parts 1
patients 2
personality 2
personnel 1
pinochet 1
pointless 1
poland 1
policies 2
politicians 1
population 2
portrayed 1
positions 1
positive 1
possible 2
post2006 1
posts 1
practitioners 1
preexisting 1
profit 1
propagate 1
psychiatric 2
psychiatrist 1
public 1
reasons 1
reform 1
reforms 1
regressing 1
regulated 1
replace 1
reports 1
requires 1
rights 1
rolling 1
russia 1
sachs 1
same 1
school 1
second 1
sections 2
securityrelated 1
seek 1
seven 1
she 2
shock 14
shocks 1
similarities 1
sketches 1
slate 1
some 2
sources 1
south 5
stressed 1
successful 1
suggests 1
supported 1
talks 1
technique 1
techniques 1
tend 1
than 1
that 3
thatcher 1
the 44
their 1
themes 1
therapy 6
thirty 1
this 1
throughout 2
tiger 1
to 15
tool 1
torture 4
total 1
transform 1
two 1
unemployment 1
unpopular 1
us 1
use 1
usually 1
very 1
violence 1
violent 1
war 1
was 3
well 1
were 1
where 4
which 4
while 2
who 1
whom 1
will 1
winners 1
with 7
without 2
world 2
years 1
