168693
/m/016l9s
/m/016l9s
David Stevens


a 6
accepting 1
accounting 1
active 1
after 1
agree 1
although 1
an 2
and 8
approval 1
around 1
as 2
attitude 1
be 1
best 1
between 1
boyfriend 1
by 1
can 1
cares 1
closeted 1
comfortable 1
dad 1
dating 1
day 1
difficult 1
disabled 1
discovers 1
divorcee 1
ejected 1
even 1
father 2
finds 2
for 5
from 2
gay 2
gives 1
grandmother 1
greg 3
harry 7
he 3
him 3
his 9
home 1
homophobic 1
house 1
in 3
individual 1
is 3
it 1
jeff 9
joyce 1
leaving 1
lesbian 1
likes 1
loves 1
magazine 1
massive 1
matchmaking 1
mate 1
may 1
meet 1
mother 1
mr 1
named 1
new 1
not 1
one 1
or 1
outing 1
overwhelming 1
own 2
park 2
part 1
perhaps 1
plot 1
rekindle 1
relate 1
relationship 1
reveals 1
revolves 1
right 2
romance 1
rugbyplaying 1
search 1
searches 1
service 1
sexuality 1
so 1
son 3
speak 2
spying 1
stroke 1
suffers 1
takes 1
taking 1
that 2
the 5
their 2
to 6
toward 1
try 1
unable 2
unconditionally 1
understanding 1
unfortunately 1
up 1
via 1
video 1
walk 1
was 1
ways 1
wellmeaning 1
when 1
while 1
who 2
widower 1
woman 1
