7678228
/m/0268n1h
/m/0268n1h
Bruce Coville
1992
23 1
23rd 1
a 23
about 2
above 1
accidentally 1
actions 1
after 5
again 1
against 1
albeit 1
all 3
allowed 1
allows 1
alone 1
along 1
amazingly 1
an 2
and 45
angrier 2
angry 1
antiseptic 1
any 1
anyway 1
are 1
arrives 1
art 2
as 11
asking 1
asks 3
astonished 1
at 9
attack 1
avoids 1
away 1
baby 1
back 4
ban 1
barn 2
be 2
beat 1
because 1
bedtime 1
been 1
begin 1
begins 1
being 2
believe 2
believes 1
besides 1
better 1
blames 1
blurts 1
bond 1
book 3
books 3
bought 1
break 1
bring 1
bringing 1
brings 1
builds 1
bullies 1
but 12
buy 1
by 5
can 5
care 1
caring 2
cat 1
cats 1
ceremony 1
changed 1
changes 1
chicken 1
chosen 1
class 2
collection 1
colors 1
comes 1
coming 1
communicative 1
concept 1
concern 1
connected 1
contest 3
continues 1
crack 2
cranky 1
dad 1
day 4
details 1
develop 1
did 1
dinner 3
directly 1
disaster 1
discipline 1
discover 1
discovers 1
disheartened 1
doctor 1
does 4
doesnt 2
dog 1
dont 1
door 1
dr 2
dragon 7
dragons 2
draw 2
during 1
each 1
earlier 2
egg 7
eggfull 1
elives 6
emotional 1
energy 1
enough 2
escaped 1
eve 1
everyday 1
exact 1
examining 1
excuse 1
exhaustion 1
extra 1
eyes 2
face 1
fat 1
father 1
fear 1
feeding 2
feeling 1
feelings 2
feels 1
finally 1
find 2
finds 6
fine 1
fire 1
first 2
flights 2
floor 2
foot 1
for 10
forgets 1
form 1
formed 1
fred 2
freddy 1
friendly 1
friendship 1
from 10
full 1
gasps 1
gate 2
general 1
gets 1
giant 1
gift 1
give 1
given 2
gives 1
giving 1
glare 1
goes 6
going 1
golden 1
good 1
goodbye 1
grief 2
grow 1
growing 1
grows 1
guilt 2
had 7
hallow 1
halloween 1
hand 1
hands 1
happens 1
happy 2
has 6
hatch 2
hatches 1
hatching 1
hatchling 1
hate 1
hates 2
have 2
havoc 1
he 63
head 1
hears 1
heart 1
help 1
helps 1
her 23
here 1
herself 1
him 14
himself 1
his 28
hold 1
home 5
hometown 1
horse 1
hotfoot 1
how 1
howard 1
however 5
huff 1
hunt 1
hurt 2
hutton 1
huttons 1
hyacinth 1
if 1
important 1
in 15
incurring 1
indeed 1
information 1
informs 1
instead 1
instruction 2
insulting 1
into 3
intrigued 1
introduces 1
invisible 1
involved 1
is 28
it 14
itmidsummer 1
jealous 1
jeremy 30
john 2
june 1
keep 1
keeping 1
know 1
kravitz 8
large 1
laughing 1
leave 1
leaves 2
left 2
let 1
lets 1
letter 1
library 2
lifts 1
light 2
line 2
literally 1
little 1
livers 1
longer 1
looking 1
looks 1
loss 1
lost 1
lou 3
magic 1
man 5
manner 1
many 2
marble 1
mary 6
may 1
meets 2
midnight 2
midsummer 3
milk 1
mind 1
miserable 1
miss 5
momentarily 1
moon 2
moonlight 1
more 5
most 1
mouth 1
moves 1
mr 6
much 2
must 2
mutters 1
name 2
next 2
nicknames 1
night 3
no 2
nobody 1
not 5
note 1
notes 2
nothing 1
now 2
of 11
old 4
on 12
once 2
one 2
orders 1
other 1
out 5
over 1
overworked 1
own 2
owner 1
pain 1
paints 1
palm 3
parents 2
part 1
participate 1
party 2
patch 1
pause 1
pencils 1
people 1
persists 1
persuading 1
peter 1
pick 1
pieces 1
place 1
poem 3
points 1
ponders 1
priest 5
private 1
process 1
prompts 1
provoked 1
puts 2
quarter 1
quickly 1
quite 1
raise 1
raises 1
raising 1
read 1
reads 1
realizes 2
really 1
received 1
receives 1
reciting 1
repeats 2
rescues 1
responding 2
responsible 1
resting 1
retriever 1
return 2
reveals 2
revenge 1
riding 1
room 2
rubbing 1
ruining 1
running 1
rushes 1
sad 2
saddened 1
sadly 1
sadness 1
said 1
salve 1
same 1
saves 1
says 1
school 2
secret 1
see 3
seems 1
sense 2
sharp 1
she 13
shed 2
sheet 2
shells 1
shop 4
shoves 1
shows 2
side 1
similar 1
sitting 2
situation 1
skills 1
skin 2
sleep 1
slightly 1
slowly 1
small 1
so 2
some 4
somebody 1
something 2
soon 6
specimen 1
spirits 1
spoken 1
st 1
stall 1
stating 2
still 1
store 1
strange 3
strong 2
struggles 1
suddenly 1
suffering 1
sunday 1
surprise 2
surprised 2
t 1
take 1
taken 1
takes 2
talented 1
talk 2
talks 3
teeth 1
telepathically 1
telling 1
tells 3
that 16
thatcher 3
the 62
then 10
there 1
they 1
thin 1
thing 1
this 4
those 1
though 4
thoughts 1
through 3
throw 1
tiamat 17
time 1
to 49
too 1
took 1
tooth 1
topic 1
tortured 1
touch 1
tried 1
tries 2
true 1
turns 1
two 2
unconcerned 1
understand 1
understands 1
until 1
up 3
urge 1
useful 1
using 2
very 5
views 1
voice 1
wake 1
walks 1
wanders 1
want 2
wants 2
warms 1
warns 1
was 3
watches 1
watching 1
way 2
well 1
what 1
when 7
where 1
which 1
while 5
white 1
who 2
whole 1
why 1
will 3
window 1
with 11
world 5
worldbut 1
wreaks 1
written 1
you 2
young 1
your 1
