2868364
/m/087y55
/m/087y55
Ian Livingstone

a 5
adventurer 2
an 1
and 3
apparently 1
are 1
as 2
being 1
blacksand 2
bone 3
by 1
certain 1
challenges 1
city 1
citystate 1
confront 1
dangerous 1
desperate 1
escape 1
eventually 1
find 2
follows 1
hired 1
is 1
items 1
journey 1
key 1
knows 1
local 1
locate 1
mayor 1
minions 1
must 2
nicodemus 1
night 1
of 5
on 1
one 1
player 3
port 2
powerful 1
prince 1
quest 1
role 1
series 1
stop 1
takes 1
terrorizing 1
the 9
thieves 1
to 2
town 1
weakness 1
what 1
who 1
whose 1
wizard 1
zanbar 1
