31991593
/m/0gvvsm2
/m/0gvvsm2

1921
{"/m/05hgj": "Novel"}
a 3
abandoned 1
able 1
affair 2
after 1
against 1
alienated 1
already 1
also 1
american 1
an 1
and 4
bandino 6
bango 1
be 1
by 2
characters 1
colonization 1
commit 1
daughter 2
decade 1
demure 1
discovering 1
during 1
engaged 1
extramarital 1
fend 1
for 1
from 1
her 1
herself 1
him 1
himself 1
his 1
husband 2
in 1
indicencies 1
invented 1
lawyer 1
left 2
liling 2
man 1
married 1
modest 1
nenita 5
occupation 1
of 3
only 1
pakito 5
philippines 2
playboy 1
rebelling 1
regalado 1
sampagitang 1
second 1
set 1
shooting 1
stop 1
succumbed 1
suicide 1
the 6
to 6
tried 1
walang 1
was 4
weakened 1
with 3
woman 1
