22583904
/m/03nv30j
/m/03nv30j
Tamora Pierce
2009-04-14
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 15
able 3
abuse 1
achoo 4
across 1
acting 1
actually 1
after 1
again 1
agree 1
ahuda 3
amber 1
amusing 1
an 1
and 31
annoys 1
apart 1
are 1
arrest 2
as 7
at 1
attitude 1
back 1
banker 1
be 2
behind 1
being 2
beka 23
bloodhound 2
blossoms 1
board 1
bodes 1
bodyguards 1
both 1
bread 2
bring 1
broken 1
but 2
by 2
cannot 1
catch 1
catfind 1
caught 1
caynn 2
children 1
city 3
clara 1
coins 1
colemonger 1
coles 3
comes 1
conspirators 1
constellation 2
continues 1
convince 1
corrupt 1
corus 3
counterfeit 1
cousin 1
criminals 1
dale 3
day 1
deal 1
decides 1
degrading 1
deliver 1
depart 1
deputy 1
desk 1
district 1
dog 2
dogs 2
down 1
due 1
dumps 1
during 1
each 1
end 1
ends 1
escape 2
evening 2
eventually 1
evidence 2
existence 1
face 1
far 1
fear 1
fight 1
first 1
flash 1
flattery 1
flee 1
flirts 1
follows 1
for 6
forced 1
forgets 1
form 1
former 1
friend 1
friends 2
from 3
further 1
gains 1
gershom 4
get 2
gets 2
gift 1
go 2
goes 4
going 1
goodwin 10
had 1
handler 1
harvest 2
haryse 1
has 1
he 2
help 3
helped 1
her 18
him 2
his 4
home 2
however 1
hurt 1
husband 1
ill 1
in 6
information 1
into 1
investigate 2
is 8
jobs 1
journal 1
large 1
learns 1
leave 1
leaving 1
legs 1
let 1
letting 1
lionel 5
live 1
loathsome 1
loose 1
lord 4
loses 1
lover 1
lower 1
loyal 1
make 1
manages 1
matthias 1
meanwhile 1
men 1
more 1
murdered 1
must 3
nestor 2
never 1
new 2
nickname 1
no 2
novel 1
now 2
numerous 1
of 16
offered 1
okha 1
on 1
once 2
one 3
or 2
orchid 1
orders 1
other 1
part 1
partner 3
partnered 1
partners 2
party 1
pearl 9
perfect 1
pieces 1
place 1
playfully 1
point 1
poor 1
port 2
position 2
pounce 1
pouncea 1
practice 1
pretending 1
prevents 1
previously 1
prices 1
prison 1
provost 2
pry 1
public 1
rattery 1
reacquainted 1
reality 1
recovers 1
reports 2
return 1
returns 1
riot 3
rogue 1
romance 1
rowan 1
sad 1
says 1
scenthound 1
see 1
sends 1
sent 1
sergeant 2
several 1
sewers 1
she 13
shelter 1
ship 1
silsbee 2
sir 4
skinner 1
sloppy 1
some 1
soyan 1
speaking 1
squad 1
stars 1
starting 1
starts 1
stay 2
steps 1
stop 1
story 1
street 1
suffer 1
take 1
takes 1
tale 1
tansy 1
tells 2
temper 1
that 8
the 28
their 1
them 2
they 6
thin 2
this 1
though 1
through 1
time 2
tired 1
to 28
together 1
tomlan 1
too 2
trainers 1
transgender 1
trebond 1
troublesome 1
try 1
tunstall 6
up 2
use 1
wakes 1
was 2
watch 3
welcome 1
when 5
where 1
which 1
while 1
who 2
will 1
with 12
word 1
works 1
wounds 1
year 1
younger 1
