2858180
/m/08782v
/m/08782v
Adam Roberts
2003
a 6
accepts 1
actually 1
adventures 1
after 1
and 5
ask 1
bingo 5
boyo 1
by 2
called 1
close 1
come 1
continues 1
created 1
dragon 1
drinks 1
dwarfs 2
escort 1
evil 2
few 1
finds 1
for 1
gold 2
hastily 1
have 1
horror 1
in 1
is 2
knowing 1
la 1
lives 1
look 1
many 1
most 1
mountain 2
mug 1
not 1
of 1
on 2
only 2
party 1
peaceful 1
potentially 1
quest 1
searching 1
sharon 1
shaves 1
sickening 1
soddit 1
starts 1
steals 1
story 1
strikes 1
that 1
the 11
them 1
they 2
thing 3
to 4
visited 1
was 1
way 1
were 1
what 1
where 2
who 2
with 2
wizard 2
world 1
you 1
