1630601
/m/05j180
/m/05j180
Yukio Mishima
1954
a 9
act 1
admirer 1
admirers 1
adopt 2
adopted 1
advantage 1
affections 1
after 3
allow 1
along 1
american 1
an 3
and 19
another 3
anyone 1
apprentice 1
are 1
arrogant 1
as 4
asks 1
at 3
attempt 1
attractive 1
away 2
back 1
be 1
beautiful 1
because 3
becomes 2
been 1
before 1
between 1
boat 1
bomber 1
boys 1
brave 1
bring 1
brother 1
bucket 2
but 1
by 3
cannot 1
carry 1
caught 1
chance 1
change 1
chiyoko 4
clothes 1
communicating 1
confronts 1
content 1
continue 1
courage 1
daughter 4
deal 1
death 1
decides 1
deliberately 1
died 1
disappointed 1
discover 1
diver 2
divers 1
down 1
earned 1
else 1
employing 1
employs 1
even 1
explaining 1
explanation 1
fall 1
fallen 1
family 2
father 1
feels 1
fill 1
filled 1
finds 1
fisherman 1
fishing 1
for 4
forbids 1
from 3
goes 1
guilt 1
had 3
happiness 1
has 2
hatsue 14
he 13
her 5
him 3
hiroshi 1
his 10
home 1
hornets 1
however 2
humiliated 1
husband 1
if 1
ii 1
in 5
including 1
increases 1
intends 2
intentions 1
is 8
island 1
it 2
jealous 2
jukichi 2
kawamoto 1
knows 1
kubo 1
letter 1
letters 1
lie 1
life 1
lighthousekeeper 2
lives 2
love 2
makes 1
man 1
manage 1
many 1
marries 1
marrying 1
master 1
means 1
miyata 2
more 1
most 1
mother 4
must 1
mysteriously 1
never 1
night 1
not 1
of 10
off 1
offhandedly 1
on 3
one 4
only 1
out 2
own 1
oyama 1
peaceful 1
pearl 3
permission 1
pretty 1
prospect 1
raised 1
rape 2
receives 1
refill 1
refusal 1
refuses 2
remorse 1
replies 1
respect 1
return 2
returning 1
returns 2
revealed 1
reveals 1
ruined 1
rumor 1
rumors 1
rumours 1
ryuji 2
save 2
secret 1
see 5
selfish 1
she 11
shinji 19
shinjis 1
ship 2
shipping 1
so 1
someone 1
somewhat 1
son 3
soon 1
spread 1
started 1
steadfastly 1
stealing 1
steps 1
stone 1
storm 2
strafed 1
strip 1
studying 1
stung 1
suitable 1
support 1
take 1
takes 1
tell 1
tension 1
terukichi 8
terukichis 1
test 1
that 4
the 28
things 1
thinks 2
through 1
to 22
tokyo 3
tries 2
trying 1
turn 1
two 1
unattractive 1
unhappy 1
university 1
unsuccessful 1
uses 1
vessel 2
vessels 1
vicious 1
virginity 2
war 1
was 5
water 1
wealthy 1
wed 1
when 9
which 1
who 5
whom 1
wife 2
will 4
willpower 1
wins 1
with 7
world 1
yasuo 4
younger 1
