5500325
/m/0dpn67
/m/0dpn67
Peter O'Donnell
1976-05-06
{"/m/02n4kr": "Mystery", "/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 7
about 1
after 1
agents 1
ago 1
airplane 1
all 1
and 12
anything 1
armed 2
arrive 2
as 2
assignment 1
at 1
battle 1
be 2
been 3
big 1
blaise 1
break 1
breguet 1
but 2
by 4
captured 1
chavasse 1
close 1
cruise 1
danny 3
day 1
decide 1
decides 1
degrading 1
died 1
discover 1
disgusting 1
down 1
enigmatic 1
ensues 1
even 1
everyone 1
famous 1
farmed 1
fate 1
female 1
few 1
final 1
find 1
finding 1
for 1
friend 2
from 1
garvin 1
geneva 1
gerald 1
gift 1
good 1
guards 3
guatemala 1
hacked 1
had 3
hadnt 1
hard 1
has 2
have 1
having 2
heavily 1
her 2
herself 2
hidden 1
his 3
holed 1
house 1
how 1
in 6
includes 1
indicates 1
infiltrate 1
into 1
involved 1
is 3
journey 1
jungle 1
jungles 1
just 1
justify 1
kidnapped 1
kill 1
labor 1
last 2
leads 2
learned 1
lesson 1
let 2
limbo 4
lives 1
man 1
maude 3
men 1
miserable 1
mistreated 1
modesty 5
not 1
now 2
occurs 1
of 7
on 2
one 1
order 1
orders 1
outskirts 1
over 1
paxero 6
plantation 2
reinforcements 1
rest 1
rich 2
sank 1
secret 2
sent 1
service 1
she 3
ship 1
shut 1
simple 1
sir 1
slave 1
slaves 3
special 1
spend 1
spy 1
start 1
subjected 1
submit 1
tarrant 1
teach 1
that 4
the 15
their 3
they 3
things 1
this 1
thought 1
through 1
tiller 1
time 1
to 12
treatment 1
two 1
up 1
uprising 1
very 2
villa 1
waiting 1
was 2
watch 2
watched 1
way 1
when 3
which 1
who 2
will 1
willie 2
with 1
women 1
years 1
