16952261
/m/04134tn
/m/04134tn
Helen Garner

{"/m/05hgj": "Novel"}
a 5
acceptable 1
action 1
admit 1
ahead 1
alice 1
alternative 1
and 10
angry 1
are 2
around 1
as 7
at 1
attractive 1
based 1
becomes 2
behalf 1
both 1
bowel 1
buddhist 1
by 1
cancer 2
caretaker 1
caring 1
character 1
children 2
chose 1
comes 1
confronting 1
considered 1
daughter 2
death 2
deletrious 1
denying 1
destroyed 1
details 1
died 1
dies 1
disease 1
do 1
doctors 2
does 2
doing 1
door 1
draws 1
due 1
dying 2
effects 1
embraces 1
emotional 1
emotions 1
end 1
eva 2
events 2
eventually 1
family 2
felt 1
find 1
first 2
flashes 1
for 5
forcing 1
forward 1
friend 4
friends 1
from 2
garner 6
has 1
having 1
health 1
heavily 1
helen 6
her 18
ill 1
illness 1
in 7
including 1
increasingly 1
is 4
it 1
its 1
jenya 1
least 1
life 1
light 1
lives 2
mainstream 1
making 1
melbourne 1
months 1
more 1
name 1
narrator 2
near 1
next 1
nicola 5
novel 6
number 1
of 9
on 3
oncology 1
only 1
or 1
order 1
osborne 2
own 1
part 1
period 1
person 1
perspective 1
plays 1
progress 1
pursue 1
returns 2
sees 1
seriousness 1
she 4
so 2
some 1
something 1
spending 1
stay 1
suspicious 1
sydney 1
symptoms 1
take 1
teach 1
tells 1
terminal 1
that 3
the 18
them 2
therapy 1
those 1
three 1
to 12
told 1
treatment 2
truly 1
turns 1
ukulele 1
use 1
vertabrae 1
wanted 1
was 1
weeks 1
when 2
where 1
which 1
who 2
with 4
woman 1
work 1
