17057307
/m/0416zw0
/m/0416zw0
Bob Weltlich
2004-11-24
a 5
an 1
and 3
at 1
attempts 1
basketball 4
becomes 3
begins 1
bob 2
broken 1
by 1
camp 2
chad 3
championship 1
children 1
college 2
duke 1
eleven 1
encourages 1
eventually 1
extra 1
finances 1
fix 1
fixing 1
florida 1
for 1
former 1
from 2
game 1
games 1
girard 3
good 1
greedy 1
grows 1
he 2
him 1
home 1
in 1
into 1
it 1
jim 1
mafia 1
make 1
meanwhile 1
money 1
narrator 1
national 1
now 1
of 1
old 1
payne 1
phenom 1
player 1
popular 1
referee 1
rescues 1
runs 1
signs 1
sneaks 1
so 2
south 1
stanton 1
star 1
support 1
tale 1
tells 1
that 1
the 5
to 2
troubled 1
university 1
up 1
who 1
with 3
year 1
