1874837
/m/04t18bm
/m/04t18bm
Elizabeth Haydon
1999
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 2
accomplice 1
achmed 1
advances 1
and 2
attempt 1
away 1
begins 1
blood 1
can 1
child 1
death 1
destinies 1
easton 1
escape 1
eventually 1
falls 1
fantasyadventure 1
finds 2
from 1
get 1
grunthor 1
having 1
her 1
herself 2
in 5
is 1
it 1
jeopardy 1
main 1
men 1
michael 1
mysterious 1
named 1
no 1
novel 1
of 3
one 1
opens 1
outrun 1
own 1
pasts 1
protagonist 1
realize 1
refused 1
rhapsody 2
romantic 1
run 1
scene 1
selftitled 1
she 1
soon 1
story 1
strong 1
that 1
the 5
their 3
they 2
though 2
to 1
two 1
unwilling 1
when 1
wind 1
with 2
