14207472
/m/03cxtwl
/m/03cxtwl
Ed Stark
2007
a 15
abandoned 1
absolutely 1
adventurers 1
after 2
against 1
ago 1
aid 1
allies 1
alongside 1
an 2
and 9
another 1
appease 1
are 4
area 1
arrive 1
as 9
ashen 1
aspects 1
at 2
attempts 1
avoid 1
awakened 1
bahamut 2
basilisks 1
bay 1
be 2
been 2
before 1
begins 1
benevolent 1
birth 1
black 1
blackbone 2
blackscale 1
blue 1
both 2
bound 1
built 1
by 4
cabal 1
cadaver 1
cave 1
center 1
centuries 1
chapter 4
characters 4
charge 1
charges 1
cliff 1
cohort 1
collapse 1
collectors 1
combat 1
complex 2
continue 1
dais 1
dark 1
darkweld 1
day 1
dealings 1
defeat 1
defend 1
destroyed 1
die 1
discover 2
disrupted 1
down 1
dracolich 4
dragon 9
dragondown 1
dragongod 1
dragongods 1
dragonkind 1
dragonlord 1
dragonnes 1
dragons 3
edge 1
egg 6
eggs 5
either 2
elect 1
enslaved 1
entire 1
evil 2
female 1
fight 2
fighter 1
find 1
finished 1
first 2
fiveheaded 1
flattens 1
follow 1
for 3
force 1
forest 2
formed 1
former 1
from 1
given 1
god 1
graveyard 2
great 1
green 1
grotto 2
group 2
guardians 1
has 3
hatched 1
hatchlings 1
hate 1
have 4
having 2
he 1
held 1
her 1
here 1
himleading 1
his 3
hobgoblins 1
hunt 1
hunted 1
impossible 1
in 6
informed 1
intends 2
into 1
invasion 1
is 7
it 4
its 2
jutting 1
keep 1
king 1
klem 4
kobold 1
lair 3
land 1
last 1
lizardfolk 1
located 1
location 1
lord 1
magical 1
make 1
map 1
may 5
meepo 2
mercenary 1
midst 1
migrated 1
monsters 1
mounts 1
move 1
must 1
named 1
nature 1
nearby 1
negotiate 1
not 1
nursery 1
objective 1
obtain 1
occupation 1
of 22
ogres 1
old 1
on 2
once 1
one 1
or 5
order 1
original 1
other 1
over 1
overcoming 1
patrolled 1
patrons 1
phylactery 1
place 1
platinum 1
players 1
plunder 1
posed 1
proceed 1
protected 1
purpose 1
raise 1
raising 2
rear 1
region 1
reputed 1
reputedly 1
restore 1
resurrected 1
retaken 1
retrieved 1
revered 1
ribs 1
ritual 1
rob 1
ruled 1
sacrifice 2
second 2
sekkatrix 1
selfstyled 1
selling 1
she 1
siblings 1
skeletons 1
spawnscale 1
spectres 1
spell 1
stream 1
taken 2
takes 1
targan 2
temple 1
that 3
the 56
their 2
them 4
they 6
this 1
those 1
though 1
threat 1
three 1
tiamat 4
to 26
told 1
travel 1
treasure 1
tried 1
try 1
tsaggest 1
two 4
unborn 1
underground 1
until 2
upward 1
used 1
various 1
waste 2
way 1
well 2
when 2
where 2
which 1
who 4
will 2
with 1
within 2
wizard 1
wizards 1
working 1
wyrm 1
young 1
