5569380
/m/0ds_dd
/m/0ds_dd
Ernest Hemingway


50 1
a 22
adams 1
after 2
all 1
and 11
another 1
arrives 1
as 3
asleep 2
assembling 1
at 3
away 2
because 1
before 1
below 1
belt 1
blackened 1
breakfast 1
bridge 1
broad 1
bucket 1
burned 1
burnedover 1
but 2
by 2
camp 1
carefully 1
catches 1
center 1
checking 1
cigarette 2
circles 1
cleans 1
clear 1
coffee 2
color 1
contemplates 1
cooks 1
country 1
damp 1
day 2
decides 1
deep 3
dewheavy 1
dinner 1
down 1
drinks 1
early 1
eating 1
eats 1
edge 1
evening 1
examines 1
falling 1
falls 1
feeding 1
fills 2
find 1
finds 1
fire 2
fishes 1
fishing 1
flyfishing 1
following 1
for 1
from 5
glade 1
grasshopper 2
grasshoppers 2
guts 1
hanging 1
he 23
heats 1
hikes 2
hill 1
his 11
in 9
into 1
it 1
jar 2
kills 2
lands 2
large 1
last 1
later 1
leader 1
leading 1
light 1
line 1
lodginghouse 1
log 3
loses 1
makes 1
making 1
mile 1
morning 1
mosquito 1
mottled 1
moves 1
moving 1
neck 1
net 1
next 1
nick 2
no 1
nothing 1
of 10
on 3
one 1
onion 2
part 2
pines 1
pitches 1
pool 1
pot 1
rails 1
rain 1
releases 1
rest 2
rests 1
returns 1
river 5
road 1
rod 1
sack 2
salmon 1
sandwich 2
sees 1
seney 1
shallows 1
shoulders 1
sitting 1
sliced 1
smokes 1
smoking 1
stand 1
starting 1
stops 2
story 1
stows 1
stump 1
supplies 1
surface 1
swamp 1
sweetened 1
tall 1
tent 1
that 4
the 30
then 2
there 1
though 1
to 9
town 3
train 1
trout 6
two 3
tying 1
under 1
unpacks 1
up 1
wading 1
wait 1
wakes 1
walks 1
was 2
watches 1
water 6
waterovergravel 1
were 1
when 1
where 4
which 1
with 3
