4933764
/m/0cvwxb
/m/0cvwxb
Robert Harris

{"/m/01jfsb": "Thriller", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
a 14
absent 1
academic 1
across 1
again 1
alan 1
allies 1
along 1
also 3
american 2
americans 1
among 1
an 3
ancient 1
and 8
answer 1
apart 1
are 6
as 6
at 6
atlantic 3
attempts 1
attractive 1
atwood 2
back 4
backgrounds 1
battle 1
baxter 2
bearing 1
bedroom 2
begins 1
between 1
bletchley 7
book 5
breach 1
break 2
breakdown 1
breaker 1
breakers 4
breaking 2
bring 1
britain 1
british 3
buildings 1
but 1
by 5
cambridge 1
can 1
cannot 1
change 1
chosen 1
chummy 1
claire 10
class 1
clerk 1
closer 1
code 11
colleagues 1
college 3
commonroom 1
confronted 1
convoys 1
criticised 1
crossword 1
cryptography 1
cypher 1
days 1
dc 1
debutantes 1
decryption 1
delegated 1
descriptions 1
desperately 1
disappear 1
discovers 1
doctoral 1
does 2
door 2
ease 1
eclectic 1
edge 1
effort 2
efforts 1
emotionally 1
en 1
encoded 1
end 1
enigma 3
establishes 1
eventually 1
fact 1
fiction 1
finish 1
following 1
for 2
forced 1
forms 2
friendship 1
from 3
gccs 1
german 1
germans 1
gets 1
government 1
grim 1
grounds 1
growing 1
handle 1
happens 1
havoc 1
he 2
helps 1
her 1
hester 1
him 1
himself 2
his 2
history 1
housing 1
how 3
however 1
hut 1
huts 1
in 9
incident 1
intercepted 1
internal 1
investigator 1
invitation 1
is 12
its 1
jealous 1
jericho 13
know 1
kramer 1
largest 1
leftist 1
lines 1
little 1
lose 1
lovers 1
magnified 1
manner 2
many 1
mate 1
mathematician 1
meet 2
more 1
much 2
mundane 1
naval 2
nervous 1
night 1
not 1
notable 1
of 17
officer 1
on 4
once 1
one 4
operation 1
opinion 1
or 1
organization 1
other 1
over 2
packs 1
papers 1
park 5
people 1
pinker 1
plot 2
pressure 1
procedure 1
professor 1
professors 1
puck 1
pursued 1
questions 1
reacts 1
real 1
recover 1
recruited 1
reflects 1
report 1
reputation 1
required 1
resemblance 1
rivalry 1
role 1
romance 1
romilly 1
room 1
roped 1
route 1
same 1
school 1
second 1
security 2
see 1
sensitive 1
sent 1
series 1
serious 1
set 1
she 1
shipping 1
signal 1
signals 1
slowly 1
society 1
speed 1
spy 1
starts 1
steams 1
still 1
strike 1
student 1
stunned 1
supercilious 1
sustain 1
tasks 1
temporary 1
tension 1
terms 1
that 1
the 50
their 1
thereafter 1
this 1
though 1
time 1
times 1
tips 1
to 16
train 1
transcription 2
trip 1
trust 1
turf 1
turing 3
two 1
uboat 2
uboats 1
under 1
unravels 1
up 1
uppercrust 2
used 1
views 1
violation 1
volume 1
wallace 1
war 1
wartime 1
wartorn 1
washington 1
were 1
what 3
when 2
whereas 1
which 2
who 3
wigram 1
will 1
win 1
winter 1
with 5
wolf 1
women 1
workingclass 1
works 1
wounded 1
wreaking 1
young 1
