8038503
/m/026pdnl
/m/026pdnl
Michael Moorcock
1970
a 8
actually 1
advantage 1
afterward 1
agent 1
although 1
and 4
aplenty 1
approaches 1
are 2
arnold 1
as 1
assignment 1
at 1
be 1
because 1
been 2
believed 1
brooch 1
but 1
by 1
casing 1
caught 1
chinese 1
come 1
comedy 1
cornell 2
correct 1
countersign 1
crown 2
disappears 1
discover 1
dreamily 1
eludes 1
errors 1
fiendish 1
finds 1
follows 1
for 1
from 1
fu 1
given 1
giving 1
glass 1
got 1
hands 1
has 2
have 1
he 3
heavy 1
him 1
his 1
hodgkiss 6
hoping 1
hopping 1
in 3
intensifies 1
is 4
it 1
jerry 1
jewel 1
jewels 1
keeps 1
kung 4
large 1
london 2
mad 1
man 2
meanwhile 1
missing 1
mistake 1
named 1
never 1
new 1
nonplussed 1
of 4
on 1
parcel 2
plans 3
portobello 1
project 1
receives 1
replies 1
road 1
says 1
some 1
soon 1
spy 1
stall 1
steal 2
still 1
stolen 1
strange 1
the 12
they 1
thief 2
thrusts 1
to 8
tower 1
tracks 1
tries 1
trouble 1
turn 2
tzu 1
unwittingly 1
very 1
way 1
were 1
when 2
whereabouts 1
which 1
who 3
