19176822
/m/04ld9bb
/m/04ld9bb
Patrick Ness
2008-05-05
12th 1
13 1
a 19
aaron 8
ability 1
accepted 1
across 1
adoptive 1
advanced 1
affect 1
after 3
again 2
age 1
all 5
allow 1
allowing 1
already 1
although 1
an 3
and 26
apparent 1
are 4
army 1
arrives 1
as 4
at 4
attack 1
attacked 1
away 1
banished 1
be 2
become 2
becomes 1
been 6
before 1
begin 1
begins 1
believed 1
ben 8
birthday 2
blood 1
boat 1
bodies 1
both 2
boy 2
boys 3
buried 1
burns 1
but 6
by 10
can 2
cannot 1
carries 1
cascade 1
causing 1
cavern 1
choosing 1
cillian 1
collapses 1
comes 1
contact 1
containing 1
continue 1
corners 1
could 1
crashlanded 1
crime 1
cure 1
days 1
deceased 1
declare 1
described 1
despair 1
diary 1
discovers 1
distracts 1
disturbed 1
does 2
dog 2
down 1
driven 1
during 2
each 1
effect 1
eleven 1
encounter 1
encounters 1
escape 5
escapes 1
escaping 1
eventually 1
everpresent 1
explains 2
fact 1
fatal 1
fear 1
few 1
fight 1
fights 1
find 2
finds 3
flee 1
flees 1
follows 1
for 7
force 1
forced 2
found 1
from 5
germ 6
girl 3
give 1
goes 1
greatly 1
greet 1
grown 1
had 4
half 1
has 3
have 3
haven 6
having 2
he 9
heading 1
hear 2
hearing 1
hears 1
help 1
her 7
hewitt 1
him 11
himself 2
his 11
history 1
hours 1
however 2
hunting 1
hurriedly 1
if 1
immediately 1
in 10
infected 2
innocent 1
insists 1
instead 2
intercepts 1
into 2
is 10
it 2
join 1
journey 1
jr 3
kidnaps 1
kill 2
killed 3
killing 3
kills 2
knife 1
known 1
last 1
later 1
leads 1
leaps 1
learn 2
leave 1
left 1
let 1
live 1
longer 1
mad 1
managing 1
manchee 2
map 1
maybe 1
mayor 3
mayors 2
meets 1
men 7
mental 1
might 1
most 1
mothers 1
moving 1
name 1
native 1
natural 1
near 1
new 4
nightfall 1
no 1
noise 7
not 5
nothing 1
novel 1
obeys 1
oblivious 1
of 15
off 1
on 9
only 2
other 1
out 1
over 1
pair 2
parents 2
part 2
past 1
people 1
physical 1
planet 2
planning 1
power 1
prentiss 4
prentisstown 9
prentisstowns 1
prepared 1
present 1
president 1
priest 1
proceeds 1
provoke 1
provoking 1
pursues 1
realizes 3
recently 1
released 1
remain 1
remaining 1
rescues 1
resenting 1
rest 2
ritual 1
rucksack 1
run 2
sacrifice 2
saves 1
says 1
sent 1
settlement 3
several 1
she 6
shock 1
shocked 1
shoots 1
sickens 1
side 1
silence 3
silent 1
since 1
small 1
someone 1
son 2
soon 1
space 1
spaceship 1
spackle 7
species 1
spills 1
spot 2
stab 1
stabs 1
still 1
stomach 1
stories 1
subsequently 1
supposed 1
surprisingly 1
surrendered 1
swamp 2
symbolic 1
takes 1
taking 1
technologically 1
tell 1
tells 2
terrible 1
that 8
the 52
their 4
them 11
then 5
there 2
they 5
thinks 1
thirteen 1
thirteenth 1
this 6
those 1
thoughts 2
through 4
ties 1
to 23
todd 30
todds 1
together 1
told 1
toward 1
tower 1
town 2
tracking 1
transmit 1
transmitter 1
traveling 1
tries 2
trip 1
truth 3
try 1
turning 1
two 3
until 1
unwillingly 1
up 4
upon 1
viola 12
wakes 2
walk 1
war 1
was 3
waterfall 1
way 2
ways 1
were 3
when 3
where 4
which 1
whilst 1
who 4
wholly 1
why 1
will 1
with 3
without 1
woman 1
women 4
world 6
wound 1
years 1
