30151589
/m/0g54ck7
/m/0g54ck7
Lurlene McDaniel
2007
{"/m/02xlf": "Fiction"}
a 13
accepts 1
accident 3
accidents 1
action 1
actions 1
afraid 1
after 2
against 1
amy 1
an 1
analise 12
and 11
angel 1
announce 1
announces 1
are 2
as 1
asking 1
asks 1
asleep 1
assures 1
at 3
athlete 1
athletic 1
attempt 1
awakened 1
away 1
babysitting 1
back 1
be 1
beautiful 1
because 2
become 1
benefit 1
bike 1
blackmailing 1
body 1
book 1
bower 3
boy 1
boyfriend 3
building 1
but 1
by 2
call 2
called 1
carving 1
case 2
coffin 1
coma 1
computer 1
concerning 1
cover 1
covers 1
crash 2
creates 1
crossing 1
crying 1
damaged 1
date 2
days 2
dead 1
deer 2
doctors 1
does 1
doesnt 1
drives 1
driving 1
either 1
emails 1
end 1
ended 1
evidence 1
excited 1
falls 1
feel 1
feels 1
few 2
finished 1
floats 1
for 4
found 1
friend 2
from 2
future 1
girl 1
gone 1
goodbye 1
guilty 1
had 1
hand 1
has 2
he 2
head 1
hear 1
her 12
hesitates 1
him 1
himself 1
his 4
hit 4
home 1
hospital 1
in 5
incident 1
information 1
informing 1
injured 1
injury 1
is 12
isnt 1
it 1
jeremy 5
job 1
judie 2
knows 1
later 1
laurie 6
light 1
like 1
locate 1
location 2
meanwhile 1
might 1
mistakenly 2
morning 1
mother 1
mr 2
mrs 2
my 1
near 1
needed 1
not 1
of 6
on 4
one 3
only 1
out 2
outside 1
over 2
own 1
palmer 2
parents 1
passes 1
place 1
point 1
police 2
popular 1
pretends 1
principal 1
property 1
prove 1
quentin 1
quin 8
receives 2
recognizing 1
ride 1
riding 1
roads 1
room 1
ruin 1
run 1
safer 1
say 1
saying 1
says 1
scene 1
school 1
seeing 1
serious 1
she 6
shocked 1
short 1
show 1
sitting 1
skills 1
so 1
some 1
sometime 1
somewhat 1
son 1
stark 1
story 1
suggests 1
sure 1
suv 2
taken 1
talented 1
that 11
the 26
their 1
therefore 1
they 3
though 1
to 10
try 1
unsuccessful 1
use 1
very 2
view 1
was 3
way 1
what 1
when 2
which 1
while 2
who 1
with 2
wood 1
