31400647
/m/0gkyymm
/m/0gkyymm


{"/m/0xdf": "Autobiography"}
10 1
2007 1
2010 1
711 1
a 1
about 1
aged 1
also 1
and 5
as 1
at 1
australia 1
bennelong 1
book 1
both 1
by 1
childhood 1
collins 1
controversy 1
costello 1
covers 1
criticism 1
defeat 1
deputy 1
drew 1
early 1
election 1
federal 1
four 1
from 1
harper 1
his 5
howard 1
in 2
is 1
jeff 1
kennett 1
lazarus 1
life 1
longstanding 1
losing 1
memoir 1
minchin 1
minister 1
nick 1
october 1
of 3
page 1
personal 1
peter 1
prime 1
published 1
released 1
rising 1
seat 1
significant 1
terms 1
the 2
through 1
to 1
years 1
