28015190
/m/0ch0xw4
/m/0ch0xw4
Erin Hunter

{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 13
about 4
accomplished 1
accuse 1
after 3
afterwards 1
again 2
against 1
ago 1
agrees 1
all 2
and 46
another 1
anyone 1
anything 2
appear 1
appears 1
are 10
arrive 1
arrives 1
as 8
ask 1
asleep 1
assembled 1
at 1
attack 1
attacked 3
attacking 2
avoided 1
away 1
back 3
barley 26
battle 2
be 2
beaten 1
become 1
been 2
before 5
behind 1
bloodclan 17
border 1
bought 1
brightheart 1
bring 1
brother 1
brothers 3
brought 1
but 2
by 9
calls 2
camp 5
can 2
cant 1
cat 1
catching 1
cats 10
caught 1
cave 1
cinderpelt 1
claiming 1
clan 2
climb 1
cloudtail 1
coax 1
come 1
congratulates 1
continued 1
crossed 1
crossing 1
crowkit 5
curious 1
daughters 1
day 2
did 1
do 1
doesnt 1
dreaming 2
drive 2
during 2
dustpelt 2
encounter 1
everything 2
families 1
farm 2
fend 1
fight 5
fighting 1
find 5
finding 1
finished 1
firestar 12
first 2
flee 1
followed 1
for 6
forest 1
forgotten 1
forward 1
fourtrees 1
friend 2
friends 1
fritz 3
from 2
gathers 1
getting 1
gives 1
gladly 1
go 3
goes 3
going 1
gray 1
graystripe 2
great 1
greeted 1
group 1
had 2
happened 1
happening 1
has 2
have 4
he 20
heads 1
help 5
her 6
hers 1
him 6
hints 1
his 4
home 2
hoot 2
housefolk 2
how 1
hunting 2
hurt 1
ice 5
in 7
including 1
information 1
into 2
is 14
isnt 1
it 5
jumper 2
keep 1
kidnapped 2
kill 1
killed 1
kin 1
kit 1
kits 1
know 3
known 1
knows 2
lead 1
leader 1
leaders 2
leads 1
leafkit 1
leaps 1
learned 1
learns 1
leave 3
leaves 2
leaving 1
let 1
like 1
littermates 1
live 1
lived 1
lives 1
living 1
look 1
mass 1
may 1
meet 1
mercy 2
might 3
mind 1
mission 1
mitzi 4
moon 1
moonstone 1
more 2
morning 2
mother 1
much 1
mudclaw 2
must 4
names 1
narrowly 1
nearby 1
nearly 1
never 1
new 1
next 3
no 1
now 2
nursery 1
of 16
off 2
offense 1
on 3
one 3
only 1
order 1
organized 1
other 1
out 6
over 2
pass 2
patrol 13
patrols 1
pay 1
place 1
plead 1
pounce 1
prey 2
promises 2
punishment 2
rainpaw 2
ravenpaw 20
reach 1
ready 1
really 1
recognise 1
reluctantly 1
remember 1
reminded 1
renamed 1
rest 2
rested 1
resting 1
return 3
rock 1
rogues 1
ruined 1
rules 1
runs 2
sandstorm 2
save 1
says 2
scourge 1
screech 1
seasons 1
see 1
seeing 1
seem 1
seeming 1
seems 1
sees 2
send 1
set 1
several 1
she 6
short 1
shortly 1
show 1
showed 1
shriek 1
sight 1
single 1
sister 3
slaughter 1
slips 1
snake 5
snipe 3
so 2
somebody 1
son 2
sorrelpaw 2
squirrelkit 1
start 1
starts 1
starving 1
stay 1
stays 1
stealing 2
still 1
story 1
struggling 1
suddenly 4
suggests 2
surprise 1
surprisingly 1
take 1
takes 2
tell 4
telling 1
tells 8
territory 1
that 29
the 35
their 10
them 12
themselves 2
then 1
there 5
these 1
they 33
theyve 1
think 1
thinks 1
thought 1
three 1
through 1
thunderclan 9
to 47
together 2
tom 1
too 1
took 1
top 1
travel 1
tried 1
tries 1
trouble 1
try 2
turns 1
twolegplace 2
up 3
upon 1
violet 11
wakes 1
waking 1
walking 1
walks 1
want 1
warriors 1
was 6
way 1
ways 1
were 3
what 5
when 17
where 2
which 1
who 1
will 3
willie 1
windclan 2
with 8
wonders 1
wriggle 1
wrong 2
young 1
