11997960
/m/02vldt2
/m/02vldt2
Jenny Diski
1987

45 1
a 14
able 1
about 3
academic 2
actually 1
advances 1
after 1
afterwards 1
already 1
an 1
and 18
appalled 1
as 4
assumptions 1
at 3
attracted 1
aware 1
back 1
be 2
becomes 1
been 1
before 1
behaves 1
believing 1
beloved 1
betraying 1
beyond 1
big 1
biochemist 1
biology 1
borneo 3
both 1
boyfriend 1
breakdown 1
but 2
by 2
career 1
challenging 1
child 1
children 1
cleaning 1
colleague 2
confides 1
country 1
covers 1
current 1
cycle 1
death 1
departure 1
deserting 1
detail 1
deteriorating 1
directness 1
england 1
enjoying 1
enjoys 1
especially 1
eventually 1
every 1
explaining 1
fatalistic 1
father 3
faulty 1
fervently 1
findings 1
firstyear 2
fixed 1
flown 1
following 1
footsteps 1
for 4
forward 1
gets 1
girlfriend 1
gives 1
gone 1
grows 1
has 5
have 1
he 3
her 22
hermdashthey 1
him 1
hired 1
his 8
housewife 1
human 1
in 13
incompetent 1
increase 1
institutionalized 1
involved 1
is 11
island 1
isolated 1
it 1
job 1
joe 2
john 1
keep 1
knowledge 1
lady 1
large 1
lecturer 1
liam 1
life 1
london 1
looking 1
looming 1
lover 1
luke 1
makes 1
making 1
man 1
marjorie 1
matters 1
meeting 1
meets 1
mental 1
middle 1
mind 1
mo 8
month 1
mother 1
moves 1
much 1
nature 1
nearest 1
news 1
nightmare 1
not 1
occasional 1
of 11
once 3
one 1
only 3
overt 1
parts 1
passing 1
pays 1
period 1
philosophy 1
planning 1
plans 1
pleasant 1
premature 1
professionally 1
project 1
psychiatrist 1
questioning 1
quite 1
rainforest 3
rapidly 1
really 1
recovery 1
rejects 1
relationship 1
relevance 1
replacement 1
research 1
role 1
rural 1
satisfactory 1
schedule 1
scientist 1
secret 1
seducing 1
sees 1
sex 1
sexual 1
she 8
shortly 1
simplistic 1
singleton 2
six 1
spends 1
spot 1
started 1
starts 1
stay 1
still 2
student 1
students 2
studies 1
succeeds 1
sum 1
surprise 1
sussex 1
take 1
teaching 1
tell 1
telling 1
that 4
the 16
their 2
them 1
things 1
through 2
to 10
total 1
town 1
tropical 2
unbridled 1
university 3
up 3
validity 1
very 2
visit 1
visits 1
waiting 1
week 1
weekends 1
well 1
what 1
when 3
where 1
which 1
while 1
who 1
widowed 1
wife 2
wild 1
wildernessmdashonly 1
will 3
with 3
without 1
work 1
working 1
worse 1
yates 2
yet 1
young 2
