28188066
/m/0cnymyy
/m/0cnymyy
Nahoko Uehashi

{"/m/01hmnh": "Fantasy"}
a 12
abandon 2
about 2
act 1
afterward 1
alive 1
all 1
an 1
and 25
appears 1
are 3
arrive 1
as 5
attempting 1
aunt 1
back 1
balsa 17
battle 2
became 1
because 1
become 1
becomes 1
been 3
beg 1
begging 1
begin 1
begins 1
behind 1
blamed 1
blue 1
break 1
brings 1
brother 2
capture 1
captured 1
caves 2
ceremony 9
challenges 1
chief 3
claimed 1
clan 1
completes 1
conquer 1
convinces 2
cover 1
creature 3
dancer 4
danger 1
darkness 2
death 1
defeats 2
defending 1
delayed 1
descended 1
despite 1
destruction 1
details 1
dies 1
discovers 1
disgrace 1
door 1
drafts 1
drives 1
each 2
egg 1
elite 1
emerge 1
end 1
ensure 1
escapes 1
event 1
every 1
extremely 1
faces 1
failure 1
father 1
for 2
forced 1
form 1
foster 1
fought 1
from 4
further 1
gain 1
generals 1
gina 2
giving 4
guardian 1
guardians 1
harm 1
has 2
have 2
he 1
heals 1
help 1
her 5
herder 2
hero 2
hiding 1
him 2
his 4
home 1
human 1
hyohlu 4
ignore 1
in 6
into 2
is 14
it 3
jiguro 5
kaguro 1
kanbal 10
kassa 4
kill 2
killed 1
king 12
knows 2
laloog 3
land 1
lantern 1
leader 1
learns 1
leaves 2
letter 2
liethey 1
lost 1
luisha 4
many 1
misty 1
mountain 4
mountains 1
musa 1
must 1
national 2
needs 1
never 1
nuguru 1
of 18
off 1
on 3
once 1
one 1
only 1
open 1
orders 1
other 2
others 1
pair 1
participants 1
people 2
plan 2
planning 1
plunged 1
poisoned 1
poor 1
previous 1
protected 1
radalle 1
rare 1
rarunga 1
read 1
realm 1
recruit 1
return 3
revealed 2
revealing 1
ritual 1
rogsam 1
room 1
saved 1
saves 1
sends 2
she 5
siblings 1
side 1
silence 1
since 1
smells 1
soldiers 1
spears 2
spirit 2
spirits 1
starvation 1
staying 2
still 1
stone 1
stop 1
strange 2
strongest 3
such 1
survive 1
take 1
tanda 1
tell 1
tells 1
ten 1
that 4
the 61
their 3
them 1
themselves 1
they 2
this 1
through 1
throws 1
to 25
toto 2
traveling 1
truth 5
up 1
use 1
valuable 1
visit 1
vow 1
warrior 1
water 1
way 3
when 2
where 1
while 1
who 1
will 1
with 3
would 1
year 1
years 2
yonsa 1
yuguro 7
yuka 2
