7358223
/m/025_6xc
/m/025_6xc
Katherine Kurtz
2000
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
1128 1
a 11
abandon 1
about 3
accept 1
accompanied 1
acknowledge 1
acquires 1
activates 1
addition 1
advice 1
after 4
afterwards 1
again 3
agree 1
agrees 2
aided 1
alaric 1
alliance 1
allow 1
allowing 1
also 2
although 3
ambitious 1
and 44
approve 1
araxie 9
are 3
arilan 1
arjenol 1
arranges 1
arranging 1
arrives 1
art 1
as 3
assassins 1
assault 1
assistance 1
at 3
attack 2
attacked 1
attacks 1
attempts 2
attending 1
attention 1
attraction 1
azim 3
be 3
before 1
beldour 2
between 2
bishop 1
both 3
brecon 2
bride 1
brides 1
brief 1
briefly 1
brothers 1
brustarkia 1
but 2
by 5
camber 1
camberian 2
capital 1
captures 1
case 1
cassan 1
ceremony 2
comes 1
completely 1
concerned 1
conclusion 1
confesses 1
confirm 1
confirmed 1
consider 1
continues 2
continuing 1
control 1
convinces 1
coronation 1
coroth 1
corwyn 1
council 2
count 2
court 3
cousin 1
crowned 1
custody 1
day 1
days 3
decides 1
denis 1
departs 1
derry 5
despite 1
dhassa 1
dhugal 2
discuss 2
discusses 1
domestic 1
double 1
duchess 1
duchy 1
duke 3
during 2
earl 1
engaged 1
escapes 2
establishes 1
experiences 1
family 4
finally 1
follows 1
for 8
forces 1
foreign 1
formally 2
former 1
four 1
from 6
furstna 1
further 1
gains 1
gather 1
grandchildren 1
grants 1
growing 1
gwynedd 3
haldane 5
half 1
hallaj 1
has 2
havoc 1
he 7
heal 1
healing 1
heartbroken 1
held 1
help 1
her 9
him 3
his 19
home 1
hort 1
however 2
ii 3
immediately 1
impaled 1
in 15
independent 1
informs 1
initially 1
injured 1
instrumental 1
is 7
journey 1
june 1
kelson 29
kill 1
killing 1
king 9
kingdom 1
knowledge 1
laas 1
lady 1
lajos 2
land 1
last 1
late 1
latent 1
later 6
leaves 1
legal 1
liam 13
life 1
link 3
lords 1
love 1
loyalty 1
macardry 1
magical 2
mahael 5
majority 1
making 1
marriage 4
married 1
marry 2
matters 1
mclain 1
mearan 1
meets 2
member 1
mental 1
midaugust 1
mind 5
mindaltered 1
months 1
morag 5
more 1
morgan 4
most 1
mtys 9
must 1
neither 1
new 1
next 3
nigel 1
night 3
noelie 4
novel 1
now 1
nur 1
occurs 1
of 39
oflynn 1
old 1
on 1
once 4
one 1
opens 1
orders 1
orsal 1
over 2
overlord 1
own 1
pair 1
parents 1
part 1
party 4
past 1
patriarch 1
period 1
persuades 1
place 2
plan 1
plead 1
plot 1
portals 1
poses 1
potential 1
power 1
practices 1
prediction 1
presence 1
prince 4
princess 4
privately 1
professing 1
progresses 1
prospects 1
protect 3
proves 1
pursue 1
pursuit 1
queen 1
quickly 1
raised 1
ramsay 3
reached 1
rebuffs 1
refusal 1
refuses 1
relative 1
releases 1
reluctant 1
remain 1
remove 1
renounces 1
retrieve 1
return 2
rhemuth 7
richelle 2
richenda 1
rips 2
ritual 2
rory 3
rothana 6
royal 6
saint 1
same 1
save 1
sean 1
search 1
secure 1
seeks 1
seriously 1
servants 1
several 3
severely 1
she 4
shortly 1
sir 1
slightly 1
son 1
sovereign 1
spans 1
squire 1
state 1
statecraft 1
stop 2
stops 1
successfully 2
suggestion 1
take 2
takes 1
teach 1
tells 1
teymuraz 10
that 7
the 53
them 1
thereafter 1
though 1
thoughts 1
threat 1
throne 2
through 1
time 1
title 1
to 34
torenth 8
torenthi 2
toward 1
traces 1
traitor 1
transfer 1
transports 1
true 1
trust 1
trusts 1
turns 1
two 3
uncle 2
uncles 1
up 1
upcoming 1
urges 2
use 1
uses 1
vassalage 1
view 1
wedding 2
week 1
weeks 1
when 4
where 3
while 1
wife 1
will 1
with 5
within 1
worried 1
worrying 1
wound 1
wounded 2
wounds 1
wreak 1
years 1
young 3
