25513705
/m/09rvdny
/m/09rvdny
Iain McGilchrist
2009-10-30
608 1
a 3
an 1
ancient 1
and 13
anthropology 1
apparently 1
archaeology 1
are 1
areas 1
arts 1
as 1
at 1
author 1
becoming 1
between 1
book 2
brain 6
but 1
by 2
conclusion 1
conflicting 1
core 1
culture 1
describes 2
detriment 1
difference 1
differentiation 1
divided 2
dominated 1
enlightenment 1
even 1
evolution 1
extent 1
first 1
from 1
functioning 2
has 2
hemispheres 2
hemispheric 1
how 1
importance 1
in 3
increasingly 1
industrial 1
influenced 1
integration 2
into 1
introduction 2
involved 1
is 4
journey 1
just 1
left 2
literally 1
literature 1
many 1
mcgilchrist 2
modern 1
neurology 1
not 1
of 9
one 1
our 2
page 1
part 2
parts 1
philosophy 1
postmodern 1
psychology 1
quite 1
reformation 1
renaissance 1
respective 1
revolution 1
right 1
romanticism 1
second 1
shaped 1
some 1
states 1
that 2
the 23
their 1
themes 1
there 1
through 2
times 1
to 3
two 2
understanding 1
unrelated 1
views 1
western 1
what 1
which 1
world 4
worlds 1
