4999964
/m/0cz6_3
/m/0cz6_3
Eleanor Estes
1944
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 3
address 1
after 1
all 2
already 1
an 1
and 10
anything 1
apology 1
are 3
as 1
at 2
away 1
awe 1
beautiful 1
becomes 1
before 1
blue 1
book 1
but 1
can 1
centers 1
claims 1
class 1
classmates 2
classroom 1
closet 1
contest 2
corner 1
day 3
decide 1
decides 1
demanding 1
describe 1
design 1
designs 1
does 2
draw 1
drawing 1
dress 1
dresses 4
enters 1
every 2
faded 1
father 1
feel 1
for 1
forward 1
friendless 1
funny 1
game 1
girl 1
girls 2
has 1
her 18
holds 1
hoping 1
house 1
how 1
hundred 3
in 6
is 1
it 2
kind 1
know 1
last 1
laugh 1
leave 1
letter 1
lie 1
lined 1
mocked 1
moved 1
mr 1
must 1
name 1
not 3
obvious 1
of 3
office 1
old 1
on 1
one 3
outrageous 1
outwardly 1
own 2
petronski 2
polishamerican 1
poor 1
post 1
puts 1
realize 2
remorse 1
say 1
school 3
schoolmates 1
seat 1
send 1
she 7
students 1
submits 1
sure 1
talent 1
teacher 2
tease 1
teased 1
that 4
the 10
their 1
them 1
these 1
they 2
this 2
to 6
unfortunately 1
up 1
wanda 4
want 1
wears 1
were 1
when 1
which 1
who 1
won 1
worndown 1
worst 1
write 1
