4885892
/m/0cslg6
/m/0cslg6
Jeff Smith
1996
a 24
about 6
accompanying 1
accusing 1
actually 1
after 3
again 2
all 3
along 1
always 1
ambush 1
ambushed 1
an 2
and 38
angry 1
apologizes 1
appears 2
approaching 1
are 4
army 1
arrive 1
arrived 1
as 4
asks 1
at 2
atheia 1
attack 3
attacked 1
attacks 1
attempts 1
away 2
back 1
bar 4
barn 1
barrelhaven 3
be 3
beckoned 1
been 3
beer 1
before 1
being 1
ben 6
bet 1
betrayed 1
bone 28
bones 2
border 1
bring 1
bringing 1
brutal 1
bug 1
but 6
by 16
called 1
calls 1
capitalize 1
charge 1
cliff 1
comfort 1
coming 1
command 1
competition 1
complain 1
congratulated 1
connection 1
conversation 1
cousins 2
cow 1
creatures 8
crest 1
crowd 1
crown 2
customers 1
dangerous 1
day 1
debts 1
decides 1
demand 1
deren 2
detail 1
dick 1
disconcerting 1
discuss 1
divides 1
down 1
dragon 9
dragons 3
draw 1
draws 1
dream 3
dreaming 1
dreams 1
dressed 1
during 2
each 1
easily 1
en 2
end 1
enough 1
entered 1
entity 1
escort 1
even 1
explains 2
fact 1
farm 2
fearing 1
fears 1
feelings 1
fierce 1
find 1
finds 1
fiscal 1
follow 1
following 1
fone 13
for 9
forgotten 1
from 2
furiously 1
gard 2
generationlong 1
giving 1
gown 1
granma 7
great 3
greedy 1
had 3
half 1
has 5
have 3
he 9
head 1
hearing 1
heeding 1
hell 1
help 1
her 7
herself 1
him 4
himself 3
hints 1
his 2
hood 1
hooded 4
house 1
however 2
huge 1
identity 1
idiots 2
if 1
immediately 1
in 10
insists 1
inspired 1
into 3
is 5
it 2
its 3
king 1
kingdok 2
know 1
knowing 1
knowledge 1
known 1
lays 1
leads 1
leave 1
lied 1
life 1
lightning 1
like 2
listing 1
live 1
locusts 3
long 1
look 2
lord 1
love 1
low 1
lucius 7
lying 1
made 4
make 2
makes 2
manipulative 1
map 1
me 1
means 1
meanwhile 1
mischief 1
mistake 1
moby 1
monarchs 1
money 1
more 1
most 1
moved 1
movements 1
murder 1
murdered 1
must 2
need 1
news 3
night 1
nightmare 1
nights 1
no 1
not 1
now 1
nursemaid 1
objects 1
obvious 1
of 20
off 2
old 1
on 4
once 1
one 4
onerous 1
opportunity 1
or 1
other 2
out 1
over 1
paid 1
palace 1
parents 3
particular 1
particularly 1
party 1
passengers 1
past 2
pawa 1
peace 1
pendant 1
period 1
phoney 10
poem 1
point 1
presents 1
princess 2
proclaiming 1
profit 1
protect 1
purpose 1
puts 1
queen 1
race 1
rain 1
rat 8
realm 1
reawoken 1
red 2
regal 1
returned 1
revealed 1
reveals 2
revelations 1
right 1
river 1
route 2
royal 1
run 1
runs 1
safety 3
same 1
saying 1
scam 1
scares 1
seems 1
sees 1
sends 1
series 1
set 1
she 9
shelter 1
shield 1
shocking 1
shows 2
shrimp 1
side 3
signs 1
since 1
slayer 1
smiley 7
so 1
some 1
soon 1
south 1
spies 1
started 1
stirring 1
storm 1
stranger 1
strikes 1
stupid 1
suddenly 1
surprise 2
swarm 1
sword 1
tackle 1
taken 2
tales 1
tasks 1
tavern 1
taverngoers 2
ted 1
telling 1
tells 1
that 13
the 75
their 5
them 4
themselves 1
then 4
there 3
therefore 1
they 5
theyve 1
think 1
this 3
thorn 13
throughout 1
to 20
townsfolk 1
tries 2
trio 1
troop 1
trouble 1
troubles 1
two 2
unavoidable 1
under 2
uneasy 1
up 3
valley 2
via 1
visits 1
vivid 1
wagon 2
want 1
war 2
warnings 1
warns 1
was 4
wasnt 1
wearing 1
were 2
what 1
when 2
whenever 1
where 2
who 1
whole 1
why 1
will 2
wins 1
wishes 1
with 8
woken 1
wont 1
woods 2
worries 1
wrecking 1
write 1
years 1
you 2
