74960
/m/0jz1w
/m/0jz1w
Zona Gale
1920
120 1
18 1
2 1
a 15
about 3
acceptable 1
accidentally 1
acting 1
actually 2
adventures 1
after 1
agrees 1
all 1
already 1
also 2
and 15
around 1
as 6
asks 1
at 1
attraction 1
audiences 1
back 1
be 4
been 1
begins 1
being 1
between 1
bit 1
bored 1
brother 1
brotherinlaw 2
but 4
certain 1
challenging 1
choice 1
choose 1
circumstance 1
circumstances 1
comes 1
commercially 1
complain 2
concerns 1
considers 1
count 1
day 1
december 1
decide 1
decides 1
di 2
discovered 1
do 1
does 1
dont 2
drama 1
due 1
dwight 1
eloping 1
elsewhere 1
ending 3
endings 1
escape 1
essentially 1
evening 1
eventually 1
ever 1
everyone 1
family 2
far 1
final 1
finally 1
find 1
first 2
for 3
forgave 1
forgiveness 1
forgotten 1
from 3
gale 1
georgia 1
girl 1
go 1
going 2
goodby 2
grew 1
had 2
happy 1
has 2
have 1
having 1
he 3
hear 1
her 16
him 1
home 2
however 1
humiliating 1
humiliation 1
i 3
idea 1
im 2
in 6
insists 2
inspired 1
instead 1
is 9
it 2
joking 1
just 1
know 2
laws 1
learning 1
left 2
legal 1
legally 1
less 3
life 2
like 1
lines 1
little 1
live 2
lives 1
lulu 8
magistrate 1
marriage 2
married 3
month 1
more 3
move 1
much 1
nick 1
niece 1
ninian 5
not 2
notices 1
of 7
off 1
on 4
one 2
original 1
out 1
own 4
play 1
position 1
prevent 1
prior 1
prize 1
pulitzer 1
reasonable 1
recited 1
requiring 1
reveal 1
revised 1
room 1
satisfying 1
savannah 1
saying 1
see 1
seems 1
seen 1
servant 1
she 4
should 1
shows 1
sister 2
so 1
starting 1
state 1
stick 1
story 3
such 1
teenage 1
tell 1
than 1
that 6
the 17
them 1
themselves 1
there 1
they 2
thing 2
this 4
time 2
to 18
trying 1
two 1
typical 1
unable 1
undertaking 1
unhappy 1
up 1
use 1
visit 1
vows 1
was 1
way 1
we 1
wed 1
wedding 1
were 1
what 1
when 1
whereto 1
while 2
who 2
whole 1
why 1
with 3
within 1
woman 2
won 1
work 2
would 2
written 1
years 2
you 2
