1230748
/m/04kg_t
/m/04kg_t
Patricia Highsmith
1970-06
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
30s 1
a 24
abandons 1
about 1
active 1
after 4
again 1
airport 1
alive 1
allegations 1
also 4
american 2
an 3
and 32
any 2
appearance 1
approaching 1
are 3
argument 1
art 2
as 5
asking 1
asks 1
at 3
austria 1
authentic 1
back 1
banbury 2
be 3
becomes 1
bed 1
before 1
began 1
begin 1
behalf 1
being 1
believes 2
belle 7
bernard 18
blames 1
blown 1
body 3
both 2
bridge 1
buckmaster 1
buries 2
burying 1
but 4
buy 1
by 7
call 1
called 1
case 2
cellar 1
choice 1
chris 1
cliff 1
clothing 1
collector 1
comes 2
comfortable 1
committed 1
complicated 1
confess 2
confesses 1
constant 2
contemplating 1
content 1
convince 2
convinced 1
corpse 1
correctly 1
cousin 1
cremates 1
curator 1
curb 1
death 2
decides 2
departures 1
derwatt 15
derwatts 3
dickie 2
die 1
disappeared 1
discovers 1
disgruntled 1
disgust 1
disturbed 1
does 1
doesnt 1
done 1
driven 1
dump 1
early 1
ed 1
edge 1
effigy 1
efforts 1
empty 1
ends 2
enterprise 1
entertains 1
entire 1
entrance 1
entries 1
escape 1
estate 1
european 1
events 2
ever 1
everything 1
exactly 1
existence 1
fake 2
famous 1
fears 1
feeling 1
feels 1
fence 1
finally 1
finds 1
for 9
forge 1
forgeries 2
forgery 4
forging 1
fortune 1
france 2
freelance 1
french 1
fresh 1
friends 1
from 6
further 2
futile 1
gallery 3
genuine 1
ghost 1
go 1
goes 2
going 1
gone 1
grave 2
gravesite 1
greece 2
greek 1
greenleaf 2
grounds 1
guilt 2
had 1
handle 1
hanging 1
has 1
have 2
he 15
heiress 1
help 1
helped 1
her 1
hide 1
him 8
himself 4
his 15
hlose 4
holiday 1
house 3
how 1
however 3
husband 1
idolized 1
ignorant 1
impersonate 2
in 16
information 1
inquisitive 1
inside 1
inspect 1
inspecting 1
inspector 2
inspects 1
into 1
investigate 1
invites 1
involves 1
is 16
it 4
jeff 1
jeopardy 1
journal 1
journalist 1
jumping 1
just 2
kill 1
killed 3
kills 1
knocking 1
last 1
later 1
latter 1
leads 1
leaps 1
leaves 3
left 1
lid 1
life 1
lifestyle 1
living 1
london 3
londoners 1
longer 1
look 1
loose 1
ltd 3
makes 1
making 2
man 2
managed 1
manages 1
many 1
mdash 3
meet 1
meets 1
mercy 1
mexico 1
minot 1
money 2
more 4
move 1
mr 1
mrs 3
much 1
murchison 14
murder 1
named 1
near 2
next 1
no 2
not 2
note 1
noticed 1
notices 1
novel 2
now 1
number 1
occasional 1
of 8
off 2
ombre 7
on 4
one 2
opened 1
opens 1
optimisticsounding 1
or 1
original 1
orly 1
out 3
outside 1
over 1
own 2
painter 3
painting 3
paintings 6
paris 1
partially 1
particularly 1
partner 1
pay 1
people 1
persistently 1
persuade 1
philip 1
photographer 1
place 1
plagued 1
plisson 1
police 7
pr 1
prefers 1
presume 1
pretending 1
prior 1
prop 1
publicize 1
rattled 1
realizes 1
realizing 2
receives 1
recent 1
reeves 1
refuses 1
remain 1
responsible 1
retaliate 1
returns 3
reveals 1
ripley 26
river 1
rolling 1
run 1
runs 1
sake 1
salzburg 2
saying 1
scam 1
scheme 3
seclusion 1
second 1
seeing 1
seen 1
sell 1
set 1
she 1
shovel 1
silent 1
six 1
smash 1
so 1
sold 1
sorry 1
starting 1
stay 1
still 1
strangle 1
stuffed 1
suggesting 1
suggests 1
suicidal 1
suicide 3
suitcase 1
supported 1
sure 1
surmises 1
takes 1
taking 1
talented 1
tate 1
teeth 1
tells 1
terrible 1
thanks 1
that 12
the 47
their 1
them 1
then 2
there 2
they 1
things 1
think 1
thinks 1
this 2
thomas 1
threatened 1
tie 1
time 2
to 41
together 1
tom 1
tour 1
tries 2
trips 1
try 1
tufts 2
turns 1
two 1
unable 1
unsuccessfully 1
up 2
uses 1
valuable 1
visit 2
wants 1
was 1
webster 2
went 1
what 1
when 2
which 1
while 1
who 4
whole 1
whom 2
wife 2
will 1
with 9
woods 1
work 3
worried 1
years 3
