8404592
/m/02727_w
/m/02727_w
Franz Kafka
1912

a 7
acquaintance 3
an 1
and 6
as 1
attending 1
back 1
by 2
carried 1
chapter 3
chapters 1
continues 1
description 1
divided 1
every 1
extraordinarily 1
fat 1
first 1
ground 1
he 3
head 1
him 2
his 6
horse 1
imagines 1
in 3
into 3
is 6
itself 1
kafka 1
landscape 1
laurenziberg 1
leaps 1
like 1
litter 1
longer 1
longest 1
man 2
meets 2
minor 1
narrated 1
narrator 2
of 4
on 1
one 1
onto 1
party 1
prays 1
reality 1
referred 1
responds 1
returns 1
rides 1
second 1
sections 1
several 1
smashing 1
so 1
speak 1
split 1
story 2
struggle 1
supplicant 1
tells 2
that 2
the 10
then 1
there 1
third 1
three 1
to 4
up 1
walk 1
whim 1
who 2
winter 1
with 1
works 1
young 1
