1375456
/m/04xs38
/m/04xs38
David Weber
1994-11-24
a 10
about 1
active 1
agree 1
an 1
and 17
appointed 1
are 1
aristocracy 1
as 1
assassin 1
assembled 1
assignment 1
at 1
back 2
be 1
becomes 1
before 4
being 4
bitterest 1
blow 1
by 6
calling 1
can 1
captain 1
challenge 3
challenging 1
chamber 1
command 1
completed 1
comrades 1
confess 1
confession 1
confronts 1
cost 1
courtmartial 1
cowardice 1
crises 1
cut 1
death 2
decides 1
declares 1
demand 1
demoted 1
denounce 1
denver 1
despite 2
determines 1
discharged 1
discredit 1
dishonorably 1
down 2
duel 4
duelist 1
earl 3
enemy 2
even 1
extracted 1
face 2
father 1
field 1
first 1
following 3
for 1
force 1
forced 1
forces 1
formally 2
former 1
friends 1
from 5
front 1
given 1
goads 1
goes 1
grayson 2
guarantees 1
halfpay 1
hancock 1
haven 2
her 5
hero 1
herself 2
hidden 1
hiding 1
him 6
hired 2
hires 1
his 1
hollow 3
honor 17
house 2
immediately 2
immunity 1
in 3
instead 1
into 2
is 8
kill 3
killed 1
kingdom 1
lords 2
loss 1
lover 1
manticore 1
marine 1
master 1
matter 1
media 1
much 1
navy 2
needed 1
new 1
nike 1
no 2
north 3
not 1
of 8
officially 1
on 5
opportunity 2
ordered 1
outraged 1
overseeing 1
paid 1
panics 1
paul 5
pavel 3
people 1
place 1
planning 1
political 2
pressure 1
prevent 1
proclaims 1
professional 1
prosecution 1
publicly 1
punishable 1
pursue 1
react 1
remove 1
removes 1
repairs 2
reprieve 1
republic 1
retreat 1
return 1
returns 1
revenge 1
risking 1
rules 1
seated 1
seeking 1
several 1
severe 1
she 2
ship 1
shipped 1
shooting 1
short 1
slaughters 1
star 1
station 1
steadholder 1
steading 1
strength 1
stroke 1
subsides 1
suffers 1
summervale 6
tankersley 2
technicality 1
that 2
the 25
them 1
then 2
they 1
this 1
though 1
threat 1
to 27
total 1
track 1
tries 1
turns 1
under 1
ungoing 1
until 2
uses 2
victorious 1
victory 1
wait 1
war 2
was 1
way 1
where 1
while 1
white 1
with 2
witnessess 1
young 11
