11131455
/m/02r124l
/m/02r124l
Richard Laymon

a 14
abe 7
about 1
accomplice 1
act 1
agrees 1
allegedly 1
along 1
also 1
an 3
and 25
another 1
apparently 1
are 5
at 5
attacks 2
attempted 1
attraction 1
attributed 1
author 2
awakens 1
back 2
based 1
be 2
beast 15
beasts 1
been 2
behind 1
belonging 1
bestselling 1
between 1
bit 1
blake 5
body 1
book 4
both 1
break 1
breaking 1
brian 1
burglary 1
but 2
by 4
came 1
can 2
case 1
cellar 1
child 1
commits 1
confront 1
connecting 1
contract 1
crazed 1
crogan 2
current 1
dan 3
daughter 2
deaths 1
decide 1
decides 1
demand 1
diary 1
disappears 1
discover 2
discovering 1
dollars 1
donna 2
down 1
driver 1
encounter 1
encounters 1
entitling 1
eventually 2
excerpt 1
exmarines 1
experiences 1
explore 1
famed 1
father 2
features 1
fictitious 1
finds 1
flame 1
for 1
found 1
from 4
get 2
girl 1
gorman 9
gruesome 1
half 2
hardy 2
has 1
have 1
having 1
he 1
her 4
him 1
himself 1
hindered 1
his 1
home 1
hometown 1
hoping 1
horrified 1
hotel 1
house 13
in 5
inn 2
into 3
is 4
it 1
its 1
jack 4
janice 12
jenson 2
journal 2
kidnaps 1
kill 1
killed 1
kills 2
know 1
kutch 2
later 2
living 2
local 2
longer 1
lurid 1
maggie 2
malcasa 3
married 1
meanwhile 2
money 1
mother 2
murders 2
mutilated 1
named 1
neighbor 1
no 1
nora 3
now 1
numerous 1
of 10
off 1
offers 1
old 1
on 4
one 3
order 1
out 1
owned 1
owner 3
parents 2
patrolman 1
photographs 1
photos 1
place 1
point 3
previous 2
prior 1
profits 1
proposal 1
proposed 1
publish 1
rage 1
raped 1
realizes 1
relationship 1
rescued 1
road 1
room 1
run 2
runs 1
sandy 3
save 1
scenes 1
sends 2
serious 1
set 1
sex 2
she 3
similar 1
so 1
some 1
starts 1
steal 2
still 1
subjected 1
survivors 1
take 1
taken 1
teenager 1
that 4
the 29
their 2
them 1
then 2
there 1
they 2
thousand 1
three 1
time 1
to 16
together 1
told 1
tour 1
tourist 2
tours 1
town 1
track 1
trap 1
travel 1
treatment 1
tunnel 1
two 2
tyler 6
unknown 1
vacation 1
victims 1
way 1
where 2
whereabouts 2
while 2
who 6
whove 1
will 1
with 6
woman 1
women 1
woods 1
written 1
young 1
