18766270
/m/04gjxtk
/m/04gjxtk
Sergey Lukyanenko

1 1
12 1
15 1
150000 1
2 1
3 1
7 2
a 71
abilities 1
ability 1
able 2
about 2
above 1
according 1
achieving 1
act 1
activity 1
ada 9
adapted 1
affected 2
after 7
against 1
age 2
agent 2
agents 1
agreed 1
air 1
all 3
allegiance 1
allied 1
allow 2
allowing 1
almost 1
already 1
also 2
alter 2
although 1
always 1
ambush 1
an 13
and 58
anna 1
announces 1
another 3
any 3
anything 1
appears 1
are 19
armed 1
around 1
arrived 1
arrives 1
as 14
asked 1
asks 2
asleep 2
at 9
atrophies 1
attempt 1
attempting 1
attempts 2
avail 1
avalon 4
awake 1
awakes 2
back 3
bad 1
base 1
basically 1
be 8
beautiful 1
became 1
become 2
been 4
before 4
befriends 1
began 1
begin 1
begins 1
begun 1
behave 1
behind 1
behindthescenes 1
being 2
better 3
bill 1
blown 1
boarding 1
bond 1
bonded 1
bonds 1
born 1
both 1
boy 4
boys 5
brain 3
brains 1
broke 1
brother 1
but 6
buy 1
by 12
calculation 5
calculations 1
called 1
camp 1
camping 1
can 2
cancel 2
capable 1
captain 1
captured 2
care 1
catwalk 2
causing 2
cell 1
certain 3
change 1
cheap 1
choice 2
chosen 2
citizen 1
city 1
claims 1
clause 1
clean 1
clone 3
cloned 1
clones 5
code 1
collective 1
comes 1
commit 1
common 1
complex 1
computer 1
computers 1
conduct 1
connection 1
connects 1
consciousness 1
consonant 1
constants 1
constitutional 2
contact 1
continue 1
continuous 1
contract 5
controlling 1
counterintelligence 1
cover 1
cracks 1
created 1
credit 1
credits 1
crew 1
crossbows 1
cryogenic 1
cryogenics 1
cure 1
current 1
custody 1
dancing 1
data 1
datastream 1
daughter 4
day 4
daze 1
deadliness 1
decide 2
decided 1
decides 4
decisions 2
demands 1
depends 1
despite 1
destroy 2
detained 1
device 1
different 2
difficult 1
direct 1
directly 1
disabled 1
disagreeing 1
discovered 1
disguise 1
dislike 1
district 1
do 2
dock 1
dockworker 1
doing 1
dome 3
dormant 1
double 1
down 1
download 1
dream 1
dressed 1
drink 1
dropped 1
due 3
dune 1
during 2
each 1
earned 2
education 1
edward 4
effect 1
effort 1
eg 2
emperor 1
empire 8
employment 1
encounters 2
encouraged 1
enemies 1
engineered 1
enough 1
entire 3
escape 1
escaping 1
escorted 1
even 2
eventually 1
every 1
everything 2
evicted 1
except 2
execute 1
execution 1
expectancy 1
expiration 1
explain 1
explained 1
explains 3
extended 1
extremely 1
fact 3
factory 1
facts 1
fail 1
failed 1
falls 2
family 3
faster 1
fasterthanlight 1
father 2
faulty 1
feeds 1
female 2
females 1
fetuses 1
few 1
fighters 1
find 2
finding 1
finds 4
first 2
fiveyear 1
flying 1
follow 1
following 1
food 1
for 20
forced 3
forces 2
forgo 1
form 1
former 1
fortunately 1
found 1
four 1
frank 1
free 3
frees 1
freeze 1
friends 2
from 9
frontal 1
frost 3
frozen 1
ftl 3
fundamentally 1
gaining 1
garlitsky 2
gave 1
genetic 2
genetically 1
genius 1
genome 1
