2746789
/m/080jb2
/m/080jb2
Darren Shan
2005
{"/m/0dwly": "Children's literature", "/m/03npn": "Horror"}
a 10
able 1
about 2
accept 1
affairs 1
after 1
allowing 1
aloof 1
also 3
although 1
an 4
and 13
another 1
any 1
artery 1
as 7
at 1
attitude 1
bad 1
battle 2
battles 2
be 2
been 1
before 1
befriends 1
begins 1
behaviour 1
behind 1
believe 1
better 1
bille 10
blood 1
bodies 1
book 1
breaking 1
brother 1
but 3
by 3
call 2
calming 1
carcery 1
caring 1
chess 3
chessobsessed 1
child 1
concentration 1
confronting 1
constantly 1
convince 1
convinces 2
cure 2
cures 1
curse 1
dead 1
dealing 1
decides 1
deeply 1
demon 2
demonata 2
demons 2
dervish 20
despair 1
distracted 1
does 1
doesnt 1
down 1
eccentric 1
encounters 1
ends 1
escape 1
eventually 1
exist 1
explains 2
extremely 1
face 1
fail 1
familiars 5
family 3
father 4
fear 1
fearing 1
feeding 1
fight 2
figures 1
finally 2
find 1
finds 1
finish 1
five 1
flame 1
flee 1
for 4
fourteen 1
friend 1
from 3
game 4
games 1
go 1
goes 1
grady 2
gradys 1
gret 1
grows 1
grubbs 27
grubitsch 1
gruesome 1
hair 1
halfbrother 1
harm 1
has 2
haunted 1
he 14
hears 1
hell 1
help 2
her 1
him 5
himself 2
his 23
holding 1
however 2
humanlike 1
in 5
increasingly 1
instead 1
institute 1
into 1
is 19
it 2
itself 1
kill 2
killed 1
knocked 1
know 1
known 1
knows 1
lambs 1
later 3
learn 1
leaves 1
leaving 1
let 3
lies 1
lives 1
look 2
lord 9
loss 8
lossa 1
lycanthropy 2
magic 4
magical 1
makes 1
manages 1
manifests 1
mansion 1
many 1
master 1
match 1
meera 1
meets 1
members 1
mental 1
minions 1
months 1
morning 1
must 1
mutilated 1
mysterious 1
nails 1
name 1
near 1
neither 1
nervous 1
night 1
nightmares 1
of 10
off 1
offers 1
often 1
on 3
one 4
only 1
orphan 1
otherworldly 1
out 2
paint 1
parents 2
permitted 1
person 1
phone 1
place 1
placed 1
play 1
possible 1
powerfully 1
prepares 1
prone 1
puberty 1
race 1
rather 1
reaches 1
real 2
realizes 1
realm 1
reason 1
recent 1
recovers 1
refuses 2
regained 1
reluctant 1
respond 1
restrain 1
revealed 2
rules 1
safety 1
save 1
saying 1
scarf 1
sees 2
senses 1
sets 1
settle 1
shares 1
simultaneous 1
since 1
sister 2
someone 2
spell 1
spleen 1
state 1
still 1
strange 1
succumbed 1
supposed 1
take 1
teeth 1
telling 1
tells 1
terrified 1
that 10
the 24
then 4
theory 1
thinking 1
this 3
though 1
three 1
throws 1
tin 1
to 35
told 1
transformed 1
traumatised 1
treatment 1
try 1
trying 1
turn 1
turned 1
turning 1
two 2
unable 1
under 1
uneasy 1
universe 1
until 1
up 1
used 2
uses 1
using 1
vale 1
vein 1
village 1
visited 1
visits 1
wakes 1
was 2
way 1
were 1
werewolf 3
when 1
which 1
while 4
who 5
win 1
winning 1
with 8
woollen 1
worse 1
younger 2
your 1
zombielike 1
