5624402
/m/0dwy5b
/m/0dwy5b
Kelley Armstrong
2004
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0c3351": "Suspense"}
a 20
about 2
absence 1
accepts 1
action 1
after 2
afterwards 1
agrees 4
all 1
also 3
altars 1
and 30
angeles 1
angry 1
answering 1
anxious 1
any 2
anything 1
approved 1
are 7
argue 1
arranges 1
arrive 1
as 8
asking 1
associated 1
associates 1
at 7
attempts 1
attention 1
aunt 1
away 1
background 1
battle 1
be 2
because 3
become 1
bed 1
been 1
begin 1
beginning 1
begins 1
begun 1
behalf 1
behind 1
believes 1
between 1
blood 1
bodies 1
borrow 1
boy 1
brings 1
broken 1
but 5
by 9
cabal 4
cabals 1
california 1
call 1
called 1
camp 1
campaign 1
can 3
cant 1
car 2
cary 7
cemetery 1
ceremony 4
certain 1
check 1
claim 3
clear 1
clearly 1
client 1
colleagues 1
come 2
comes 2
complaints 1
compound 1
concerned 2
confronted 1
confronts 1
continue 1
cortez 3
coven 6
curious 1
currently 1
custody 3
daughter 2
day 3
days 2
dead 2
death 1
decided 1
deeply 1
deliberately 2
demon 1
denies 1
department 1
despite 1
destroyed 1
differences 1
dime 1
dirty 1
discover 1
discovers 1
dna 1
do 2
does 1
doorstep 1
draw 1
drink 1
drive 2
during 1
east 1
elders 4
employees 1
ensuring 1
enwright 1
escalate 1
escape 1
eve 1
events 3
expected 2
expose 1
falls 1
family 1
father 1
fees 1
few 1
fields 1
file 1
finally 1
find 1
firebombed 1
first 2
for 3
force 2
forced 1
form 1
framing 1
friesen 1
from 8
funeral 1
furious 1
gabriel 2
gagged 1
get 3
gets 2
give 1
glory 1
go 5
grades 1
grantham 2
greta 2
grimoires 4
grows 2
had 1
halfdemon 2
hand 1
has 3
hate 1
have 2
he 3
head 1
hell 1
her 27
higher 1
his 14
home 4
house 5
however 5
illusions 1
in 8
incidents 1
includes 1
increase 1
increasingly 1
information 1
ingredients 1
insists 1
intent 1
interview 1
into 2
investigation 1
involved 1
involves 1
is 18
it 6
jr 2
kept 1
kidnapped 1
kill 1
killed 1
knowledge 2
kristof 2
law 1
lawyer 1
lawyers 1
leah 7
least 1
leaves 1
lessons 1
let 2
level 1
levine 1
like 1
little 1
local 1
look 1
loose 1
los 1
lost 1
lovers 1
loyalty 1
lucas 8
machine 1
magic 2
manages 1
margaret 1
massachusetts 1
matters 1
media 1
meet 1
meeting 2
meets 1
members 1
menses 1
menstruate 1
message 1
might 2
months 2
mother 2
murder 1
nast 11
next 2
nine 2
nonetheless 1
not 6
notice 1
novel 1
object 1
observes 2
occurring 1
odonnell 1
of 14
offer 2
offers 1
office 1
offices 1
old 1
olivia 1
on 8
once 1
one 2
only 1
or 2
order 1
orders 1
originally 1
other 4
out 2
outside 1
paige 30
paternity 1
paying 1
people 1
period 1
permit 1
persuades 1
petition 1
pick 2
placing 1
planned 1
point 2
police 2
powers 1
presents 1
previous 1
primary 1
property 1
protests 1
prove 1
provided 1
provides 1
raise 1
raising 1
realise 1
receive 1
receives 2
receiving 1
recognises 1
refuse 1
refused 2
refuses 1
released 1
request 1
requires 2
rescued 1
returns 2
revealed 1
revenge 1
ritual 1
run 1
sacrifice 1
salem 1
same 1
sandford 4
satanic 1
savannah 18
save 1
scene 1
secondary 1
secured 1
services 3
set 2
setting 1
several 1
shares 1
sharing 1
she 17
sheriff 1
so 1
social 2
some 1
sorcerer 3
sorcerers 1
spell 2
spellcast 1
spells 1
stage 1
starts 1
station 1
status 1
stay 1
stolen 1
store 1
strange 1
submit 2
succeed 1
sundown 1
support 1
supposed 1
surviving 1
take 1
takeaway 1
taken 1
takes 2
talk 2
teaching 1
telling 1
tells 1
temporarily 1
tertiary 1
testing 1
that 14
the 55
them 4
then 5
there 6
these 1
they 8
thinking 1
this 5
threatens 1
three 2
throw 1
time 1
to 54
too 1
town 2
tricks 1
trouble 1
trust 1
trying 1
turn 1
turns 1
two 2
under 1
underwent 1
until 1
up 7
upset 2
urgency 1
use 4
uses 1
victoria 1
visit 1
visitation 1
visits 1
vital 1
ward 1
weeks 1
well 1
were 2
when 3
where 1
which 1
whilst 1
who 1
wife 1
will 2
window 1
wish 1
wished 1
witch 3
witches 4
with 6
year 1
