17628700
/m/0465qb2
/m/0465qb2
Kenneth Oppel
2008-08-26
{"/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/06www": "Steampunk"}
a 21
able 1
about 3
accepts 3
acts 1
actual 1
adding 1
aerial 1
aerocrane 1
after 3
again 2
air 2
airship 1
alone 1
along 2
already 1
altitude 1
amongst 1
an 7
and 27
another 1
apologizes 2
are 9
around 1
as 6
assembled 1
astral 1
astralnaut 2
astralnauts 4
astralnautsintraining 1
at 1
atmosphere 1
attack 1
attempt 1
attempts 1
away 2
babelites 1
baleen 1
bar 1
barnacles 2
be 7
because 1
become 1
becomes 1
beginning 1
believe 1
blanchard 2
blown 1
board 2
body 1
both 1
brainstorm 1
break 1
breaking 1
brilliant 1
broke 1
brought 1
bursts 1
but 3
by 5
cabin 1
cable 5
cairo 1
can 1
canada 1
canadians 1
captain 4
careful 1
celestial 1
chance 2
change 1
cheer 1
chef 1
chose 1
chosen 3
chuck 1
city 1
claim 1
clear 1
climbs 1
come 1
comforted 1
complete 1
conclusion 1
confesses 1
consent 2
counterweight 1
creature 2
crew 6
crude 1
cruse 2
day 1
days 1
de 3
deceiving 1
decides 1
deserved 1
develops 1
did 1
difficult 1
discover 2
discovered 1
discovers 1
does 1
dr 3
drifting 1
during 4
earth 1
ejecting 1
elevatortype 1
eloped 1
emanates 1
emergency 1
endangers 1
endless 1
engagement 5
enrolled 1
enthralled 1
especially 1
etherian 1
evelyn 1
even 1
evening 1
everyone 1
expedition 1
expert 1
failed 1
fall 1
falling 1
feelings 1
fellow 1
few 1
finds 1
finger 1
firefly 1
first 5
flush 1
follows 1
for 3
four 1
france 1
friends 1
from 3
front 1
fuse 1
getting 1
giving 1
go 1
goes 1
gravity 1
group 1
guide 1
had 1
haiku 1
hands 1
harness 1
have 1
having 1
he 10
hear 1
hearing 1
heartbroken 1
heavens 1
held 1
help 1
her 9
herzog 1
him 11
his 6
holes 1
home 1
homebound 1
hoping 1
however 2
hugh 1
humans 1
in 10
incident 1
informed 1
into 1
invitation 1
invites 1
is 22
it 2
its 1
james 5
jets 1
join 1
journalist 1
journey 1
just 1
karr 1
kate 21
killed 1
knew 1
knocked 1
know 1
lands 1
later 1
launch 2
leading 1
leaves 2
left 3
leg 1
letter 1
light 1
like 1
limbless 1
lionsgate 1
love 1
maiden 1
man 1
manage 1
maneuvering 1
marry 2
matt 26
mechanisms 1
meets 1
members 3
men 1
minister 1
monkey 1
morning 1
mother 2
moves 1
mr 2
mrs 1
must 1
names 1
narrowly 1
new 1
next 1
night 1
no 1
not 3
obtain 1
obvious 1
of 14
off 2
offered 1
offers 1
on 8
once 1
one 3
only 3
opposed 1
orbit 1
orbital 1
other 1
out 1
oxygen 1
painful 1
painfully 1
parents 3
party 3
people 2
pet 1
photographer 1
pilot 1
piloting 1
preparing 1
probably 1
problem 1
program 1
propellant 1
proper 1
proposal 1
propose 1
proposes 1
provoke 1
provoking 1
pulled 1
quickly 1
rather 1
reach 1
reaching 1
really 1
receives 1
reenter 1
reentry 1
rejected 1
relationship 1
relaunches 1
remaining 1
replacement 1
rescue 1
rescues 1
rest 1
return 2
returns 1
revealed 1
reveals 1
ring 3
rocket 3
room 1
saddened 1
samuel 1
sanderson 6
saying 1
seeing 1
seeks 1
sent 1
sergei 1
she 6
sheperd 1
shepherd 2
ship 1
sir 1
sisters 1
site 1
snaps 1
snuffler 1
soon 1
space 6
spot 1
stage 1
starclimber 10
subject 1
successful 1
successfully 2
suggests 1
surface 1
survives 1
suspicions 1
takes 1
tank 1
team 1
telegram 1
tell 1
telling 1
tells 3
terrorist 1
than 1
that 23
the 61
their 1
them 1
then 1
there 1
they 8
this 1
though 2
thought 1
threatens 1
three 1
throws 1
to 36
tobias 7
together 1
toilets 1
tower 1
trainee 1
trip 3
troubles 1
try 1
turbulent 1
turgenev 3
unclip 1
unconscious 1
unexpected 1
up 3
upon 1
using 3
various 1
visit 1
vista 1
vlad 1
voyage 1
vries 3
walken 4
wants 1
was 2
way 3
whatever 1
when 7
where 1
which 1
while 4
who 2
will 4
with 10
woman 1
world 1
zero 1
zoologists 1
zoology 1
