11541287
/m/02rhblm
/m/02rhblm
Piet Bakker

{"/m/0dwly": "Children's literature", "/m/05hgj": "Novel"}
130s 1
146 1
a 11
accidentally 1
adult 1
after 3
against 1
also 1
amsterdam 1
an 1
and 9
angry 1
another 1
arrested 1
as 2
at 3
aunt 1
beats 1
because 1
beloved 1
book 2
boy 2
bruis 1
by 1
called 2
chance 1
change 1
child 1
cis 2
ciske 11
cor 1
de 2
declared 1
dies 1
divorced 1
dorus 2
drowning 1
dutch 1
eleven 1
father 3
fights 1
films 1
fire 1
fisherman 1
franciskus 1
friends 2
from 2
german 1
get 1
gets 1
gift 1
gives 1
groeit 1
grows 1
has 2
he 7
head 1
helps 2
hero 1
him 3
his 10
home 2
ii 1
in 7
included 1
ink 1
into 1
is 10
jail 1
jans 1
kills 1
knife 1
knocks 1
lantern 1
later 1
liberation 1
life 1
lives 1
lonely 1
makes 1
man 3
marie 1
meets 1
mother 4
new 1
night 1
no 1
not 2
now 1
of 2
old 1
one 1
only 1
op 1
out 3
over 2
pages 1
part 3
poured 1
pub 1
published 1
put 1
rat 3
saves 1
school 3
second 1
setting 1
sick 1
soldier 1
soldiers 1
starts 1
story 2
street 1
surprises 1
teacher 3
tears 1
the 13
then 1
therefore 1
third 1
this 1
to 2
together 1
told 1
up 1
vrijmoeth 1
wants 1
war 1
was 2
where 1
which 1
who 5
with 4
works 1
world 1
year 1
