16714937
/m/0c0245w
/m/0c0245w
Jennifer Rowe
2004-05-19
a 16
after 1
ahead 1
aided 1
all 4
also 3
amethyst 2
among 1
an 3
ancient 2
and 51
any 1
appears 1
are 2
arent 1
around 1
arrive 1
arrived 1
as 8
at 2
ava 2
awakened 1
away 1
back 3
barda 11
be 1
beads 1
because 1
been 4
before 1
belt 1
birth 1
blood 3
board 1
boat 1
bottle 1
buried 1
but 11
by 11
called 1
can 1
candy 1
captain 1
case 1
casino 1
changes 1
city 1
coin 1
coins 1
come 1
comes 3
contract 1
created 1
creates 1
creatures 2
crew 1
criminal 1
danger 2
dangerous 1
daughter 2
dead 4
defeated 1
del 1
deltora 7
destination 1
destroy 2
destroyed 2
developed 1
diamond 3
do 2
doesnt 2
dont 1
doran 4
dragon 11
dragonlover 2
dragons 2
dread 1
dreaming 1
drew 1
dunes 1
eats 1
egg 2
emerald 1
evil 3
exchange 1
explorer 1
fabled 1
fallen 1
find 6
finds 2
finger 2
finish 1
fire 1
first 2
flee 1
flesh 1
fleshbanes 1
floor 1
flowers 1
flowing 1
fly 1
for 6
forta 1
fortune 1
fortuneteller 1
found 3
four 4
fourpart 1
fourth 1
fresh 1
from 8
front 1
gambling 1
games 2
gant 2
gem 1
get 4
gets 3
getting 1
ghost 1
given 1
gives 1
glows 1
gold 1
goods 1
grave 1
great 3
guardian 1
had 2
han 3
hard 1
harsh 1
harvest 1
has 6
have 2
he 8
help 4
helps 1
her 2
here 4
hidden 1
hills 1
him 1
his 4
house 1
in 16
inside 1
into 1
is 11
island 2
isle 4
it 6
its 3
jack 4
james 2
jasmine 4
keeper 1
killed 1
kills 1
kin 3
kind 1
king 1
know 1
known 3
lady 1
land 1
lapis 1
last 1
latin 1
laughing 3
lazuli 1
legs 1
lief 13
lighthouse 1
lilies 1
lily 2
little 1
loan 1
loans 1
located 3
lord 2
luck 1
luckily 1
magic 2
magical 4
make 1
makes 2
making 1
manage 1
many 1
map 3
matching 1
means 1
meet 1
money 2
mountain 1
must 3
name 1
need 1
nest 1
next 4
now 4
of 27
off 1
old 3
on 6
once 1
one 2
open 1
osmine 1
out 4
owned 1
painter 1
painting 3
part 4
pass 1
past 1
pay 2
people 4
pipe 1
pirran 1
place 1
places 2
play 1
poisonous 1
pouches 1
power 3
powers 2
promised 1
promises 1
protectors 1
put 1
quest 1
real 1
realized 1
red 4
remain 1
right 1
rock 2
room 2
rowers 1
ruby 1
rule 1
rush 1
sands 1
scarlet 1
sea 1
second 2
see 2
seen 1
separates 1
servants 1
seven 1
shadow 2
shadowgate 1
she 1
ship 4
shop 2
shows 1
since 1
sister 4
sisters 3
skeleton 1
skilled 1
sleep 2
sleeping 1
slowly 1
so 1
some 3
songs 1
soon 1
strange 1
strength 1
stretches 1
sucks 1
take 3
takes 1
tell 1
tells 2
territory 1
that 13
the 84
their 5
them 3
then 8
there 1
they 21
things 1
thinks 1
this 1
three 1
ties 1
time 1
to 18
told 1
tom 2
too 2
topaz 1
toranamethyst 1
torans 1
touch 1
trapped 2
travel 1
traveled 1
trickery 1
truth 1
turned 1
under 2
unites 1
up 2
used 2
uses 1
veritas 2
verity 3
visions 1
wake 1
walking 1
wanted 1
warm 1
was 1
water 2
way 1
west 1
western 1
what 1
where 1
which 11
who 2
wind 1
windy 1
witch 1
with 6
work 1
wrong 2
years 2
you 1
