2686113
/m/07xypw
/m/07xypw
Holly Black
2002
a 20
abilities 1
about 1
acknowledge 1
affecting 1
after 4
allowing 1
american 1
amuse 1
an 1
and 26
another 1
answered 1
anything 1
apologize 1
appearance 1
are 4
arrival 1
arrives 1
arrow 1
as 4
at 5
attempt 2
attempts 2
attend 1
away 2
back 1
band 2
bar 1
be 3
because 1
before 5
begins 3
being 1
between 1
bewitching 1
bind 2
bloodbath 1
body 1
bonds 1
book 1
boyfriend 3
briefly 1
but 5
by 5
call 1
camp 1
can 1
ceremony 3
changeling 1
chest 1
childhood 1
chooses 1
claiming 1
climax 1
come 1
contact 1
control 2
controlled 1
convince 1
corny 3
correct 1
country 1
court 11
day 1
dead 2
desire 1
devises 1
discover 2
discovered 1
dissolve 1
distance 1
does 1
dress 1
during 1
earlier 1
enchantment 1
end 1
enlisting 1
enter 1
events 1
faerie 2
faeries 2
failed 1
fails 2
fairies 1
feelings 1
fey 3
fierch 1
figments 1
find 1
finds 3
flee 1
follows 2
for 8
forfeit 1
free 3
friend 2
friends 4
from 5
full 1
get 2
gets 1
gig 1
go 3
goes 2
going 1
grandmother 2
grants 1
gristle 2
group 1
guards 1
guitarist 1
had 2
halloween 1
has 3
having 1
he 3
held 1
help 2
her 39
him 9
himself 1
his 3
home 2
hoping 1
house 2
how 1
however 3
human 1
if 1
imaginary 2
imagination 1
immediately 1
in 10
insane 1
into 2
inviting 1
irontipped 1
is 14
it 4
janet 4
jersey 1
kaye 19
keep 1
kelpie 3
kidnapped 1
kidnappings 1
kill 1
killed 2
killing 2
kills 1
king 1
knight 3
late 1
later 3
learns 1
leaves 1
let 1
life 1
lives 1
lloyd 1
locates 1
loneliness 1
look 1
lutieloo 2
made 1
magic 1
makes 1
manages 1
many 1
mauling 1
morning 1
mortal 2
mother 5
mourning 1
multiple 1
murderer 1
name 3
named 1
names 1
near 1
nephamael 6
new 1
newfound 1
news 1
next 2
nicnevin 1
night 1
nomad 1
not 3
novel 2
odd 1
of 15
off 1
old 1
on 3
once 1
one 1
order 2
orders 1
out 1
over 2
persuade 1
philadelphia 2
plan 1
planned 1
playing 1
poison 1
prepared 1
prevents 1
process 1
proclaimed 1
proved 1
pulling 1
queen 4
questions 1
rave 2
razor 1
reach 1
receive 1
receives 1
relinquish 1
reported 1
reports 1
result 1
resulting 1
return 1
revenge 2
right 1
ritual 1
rock 1
roiben 18
sacrificial 1
safely 1
saves 1
see 1
seedy 1
seelie 2
seize 1
separated 1
seven 1
she 15
should 1
simply 1
since 1
situation 1
sixteenyearold 1
solitary 2
some 1
soon 2
spend 1
spike 3
stab 1
stabs 1
stay 2
stepping 1
story 1
strange 1
successfully 1
suggested 1
suspect 1
suspicions 2
suspicious 1
take 2
taken 2
takeover 1
takes 2
teach 1
tell 1
telling 1
that 11
the 47
their 2
them 2
then 1
there 1
they 6
thinks 1
this 2
three 1
throne 1
through 2
times 1
tithe 2
to 37
too 1
tours 1
trap 1
travel 1
trickery 1
tricks 1
tries 1
true 2
truthfully 1
ultimately 1
under 1
understand 1
unseelie 7
use 3
uses 3
warn 1
water 1
waterfront 2
went 1
were 1
when 2
where 1
which 1
while 1
who 4
whom 1
will 2
wishes 2
with 5
world 1
years 1
young 1
