3989801
/m/0bbbjw
/m/0bbbjw
Ashley McConnell
2004-07-27
{"/m/01hmnh": "Fantasy", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
a 5
absorbing 1
adrian 3
agrees 1
always 1
and 3
arrives 1
at 2
auction 3
been 1
before 1
blown 1
books 6
buys 1
cant 1
childhood 1
colleague 1
compendium 1
council 2
down 1
dusty 1
even 1
famous 1
father 1
finds 1
for 2
former 1
from 1
has 2
he 3
him 1
however 1
if 1
immediately 1
in 2
including 1
infamous 1
invites 1
is 1
it 2
killed 1
leave 1
librarian 1
libraries 1
literature 1
loved 1
magick 1
me 1
more 1
most 1
never 1
number 2
occult 1
of 5
oflaherty 1
old 2
one 1
put 1
rare 2
read 1
red 1
revenge 1
rutherford 1
secret 1
seen 1
since 1
sirk 1
soon 1
sucker 1
than 1
the 7
those 1
to 2
took 1
town 1
up 1
wants 3
was 2
watchers 1
wes 4
when 1
which 1
who 2
