3979558
/m/0b9tgg
/m/0b9tgg
John Passarella
2001-03-01
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/0dwly": "Children's literature"}
a 6
across 1
agency 1
angel 1
apart 1
be 1
beginning 1
between 1
beyond 1
but 1
cause 1
chatting 1
city 1
complete 1
connection 1
cordelia 1
corpses 1
death 1
demon 1
detective 1
discover 1
doyle 1
even 1
face 1
for 1
from 1
going 1
hesitantas 1
hobby 1
hoping 1
in 1
interface 1
is 2
it 1
meanwhile 1
must 1
of 3
on 1
online 1
only 1
out 1
people 1
points 1
police 1
prowl 1
ritual 1
seems 1
site 1
suggests 1
technosavvy 1
the 5
their 2
these 1
to 2
trail 1
trouble 1
victims 1
want 1
web 2
wide 1
with 1
world 1
