12911709
/m/02xcmx1
/m/02xcmx1
Jaan Kross
1984
102 1
1770 1
18 1
1845 1
27 1
a 15
actually 1
affair 1
affairs 1
alexander 1
allow 1
almost 1
also 1
am 1
an 3
and 10
another 1
arbitrator 1
arlon 1
arrest 1
art 1
as 1
at 4
attended 2
august 1
became 3
before 1
between 1
bore 1
born 2
but 2
by 1
candidacy 1
candidate 1
chance 1
chancellor 1
child 1
clerk 1
comparativist 1
compendium 1
composer 1
conference 1
conferences 1
congo 1
cottage 1
death 1
delegates 1
delegation 1
demise 1
describes 4
did 1
died 1
differently 1
discovery 1
discuss 1
discusses 1
doctrine 1
double 2
during 2
eightynine 1
embarrassing 1
embarrassment 1
episode 1
estonia 1
estonian 1
events 2
example 1
expert 1
father 2
fellow 1
fire 1
first 1
fled 1
flood 1
for 5
foreign 1
formulates 1
frankfurt 1
friedrich 6
from 3
fromhold 1
georg 4
germany 1
given 1
gorchakov 1
government 1
great 1
gttingen 2
hague 1
hamburg 2
have 2
he 20
hella 1
her 1
him 1
his 16
home 1
house 1
how 1
human 1
if 1
imperial 1
in 10
including 1
initial 1
international 3
japanese 1
johannes 1
journey 1
jurist 1
just 1
kati 1
lady 1
later 3
law 2
life 4
list 1
lived 2
main 1
man 2
many 2
married 1
martens 2
meeting 3
member 2
mikhailovich 1
ministry 1
mistaken 1
mistakenly 2
most 1
mr 2
name 1
nations 1
nephew 1
nobel 2
not 2
note 1
of 25
omitted 1
on 1
other 1
ousted 1
outlines 1
own 2
parallel 1
parish 1
participate 1
passenger 1
peace 3
petersburg 2
place 1
politics 1
poltava 1
polyglot 1
portsmouth 1
previously 1
prince 1
prize 2
prnu 2
professor 2
psychology 1
publication 1
recalls 2
recollected 1
relates 1
remembers 3
renowned 1
reported 1
reports 1
represented 1
respect 1
rights 1
rumored 1
russia 1
russian 3
saebelmann 2
so 1
socialist 1
some 4
son 1
st 2
stopoff 1
story 1
student 1
suburb 1
talks 1
that 2
the 30
theory 1
time 1
to 6
took 1
town 1
train 2
treaties 1
treaty 1
university 2
valga 1
was 9
where 1
who 2
wife 1
winner 2
with 4
woman 1
wonders 1
wooden 1
would 1
wuolijoki 1
years 1
yvette 1
