4456060
/m/0c3fct
/m/0c3fct
Walter Pater
1885
166 1
a 18
abandoned 1
accidents 1
ad 1
aesculapius 1
aesthetically 1
again 1
against 1
alban 1
alone 1
amanuensis 1
amphitheatre 1
an 3
ancestral 1
and 29
anima 1
animals 1
appeal 1
appointed 1
apuleius 1
ardent 1
are 1
aristippus 1
arrested 1
art 1
as 7
at 1
atmosphere 1
attainments 1
aurelius 3
author 1
authorities 1
awakens 1
awe 1
be 1
beauty 1
becomes 1
been 1
befriended 1
believe 1
believers 1
blithesome 1
boarding 1
boy 1
boyhood 1
brilliant 1
bronzework 1
burying 1
but 1
by 13
campagna 2
captive 1
captors 2
causes 1
cecilia 1
centred 1
chance 1
charismatic 1
child 1
childhood 1
christian 1
christiana 1
christians 2
come 1
comments 1
community 1
company 1
competing 1
contributes 1
cornelius 6
country 1
course 1
court 1
cruelty 1
cupid 1
cyrenaicism 1
day 1
days 1
dead 1
death 2
deathagony 1
deceived 1
delight 1
departure 1
depth 1
desolation 1
dies 1
disillusioned 1
doctrines 1
due 1
during 2
dying 1
early 1
eloquent 1
embraces 1
emerges 1
emotional 1
emotionally 1
emperor 1
enchantment 1
encountering 1
end 4
ends 1
endures 1
epicurean 1
epicureanism 2
epiphany 1
etruria 1
exhaustion 1
experiencing 1
explores 1
eyes 1
failure 1
faith 1
falls 3
family 2
fates 1
father 1
festival 1
final 1
finds 1
first 1
flavian 2
flavianus 1
flux 1
follow 1
for 2
forest 1
fourth 1
free 1
friend 1
from 1
fronto 1
funerary 1
gradually 1
great 1
greek 1
growing 1
grown 1
had 2
hardship 1
has 1
have 1
he 11
hedonistic 1
heraclitus 1
hills 2
him 3
his 12
home 1
hours 1
household 1
however 1
if 1
ignorance 1
ill 2
imperial 1
implies 1
impressed 1
in 16
indifference 1
inflicted 1
influence 1
interest 1
into 1
ironically 1
irony 1
is 11
isis 1
isolation 1
it 2
itself 1
journeys 2
just 1
knight 1
lares 1
last 2
later 2
latter 1
lectures 1
less 1
letters 1
life 2
lifephilosophy 1
like 1
listen 1
literary 1
literature 1
little 1
liturgy 1
living 1
long 1
lost 1
love 2
luna 1
makes 3
malign 1
manhood 1
marcus 1
marius 12
meditations 1
men 2
mood 1
more 2
mortality 1
mother 1
narrowness 1
natural 1
naturaliter 1
naturally 1
near 1
nevertheless 1
new 2
now 1
occasion 1
of 43
older 1
on 10
one 4
only 2
open 1
or 2
out 2
overshadowed 1
own 1
part 5
pater 3
patrician 1
pays 1
peace 3
people 2
perfect 1
persecution 1
pervigilium 1
philosophical 1
philosophy 2
pisae 1
plato 1
poor 1
prevails 1
psyche 1
public 1
purposeful 1
puzzled 1
question 1
read 1
religion 2
repeated 1
respects 1
revealing 1
reviews 1
revisits 1
rhetorician 1
rituals 2
rome 6
rural 1
sabine 1
sanctuary 1
satisfying 1
school 1
second 1
secret 1
sect 1
seeking 1
seem 1
sense 1
sensitive 1
serenity 1
set 2
sets 1
shortly 1
shown 1
singular 1
some 2
sort 1
soul 1
source 1
spiritual 1
stifling 1
still 1
stoicism 2
story 1
student 1
surroundings 1
suspected 1
sweep 1
systems 1
take 1
taken 1
temperament 1
tended 1
tends 1
that 3
the 47
their 3
them 1
then 1
there 4
thinking 1
third 1
this 1
though 1
thoughts 1
to 17
torments 1
towards 1
traditions 1
transformed 1
trees 1
two 2
unbeknown 1
under 1
up 1
urns 1
utterance 1
values 1
veneris 1
very 1
visit 1
visits 1
way 2
where 1
which 1
who 4
widow 1
will 1
with 5
words 1
would 1
young 3
youth 2
