5630892
/m/0dx7r4
/m/0dx7r4
Harry Turtledove
2003-07-29
117 1
134 1
141 1
22 1
5 1
a 3
able 1
abolishing 1
after 2
against 1
al 1
all 1
an 1
and 8
are 1
arkansas 1
army 1
as 3
aspects 1
attack 1
before 1
begin 1
beginning 1
black 1
blackbeard 1
book 1
but 1
by 1
calling 1
camps 1
changes 2
commencement 1
confederacy 2
confederate 3
court 1
covers 1
day 1
defeat 1
done 1
effort 1
eliminate 1
enact 1
end 1
expanding 1
featherston 4
for 2
former 1
fourth 1
freedom 1
had 1
his 3
houston 1
in 3
inauguration 1
including 1
is 5
issues 1
its 1
jake 1
japan 1
june 1
kentucky 1
kill 1
lands 1
liberal 1
life 1
lost 1
march 1
more 1
nation 1
neighbor 1
not 1
of 8
off 1
offer 1
operation 1
order 1
part 1
parts 1
party 1
period 1
place 1
plan 1
politicians 1
population 1
prepare 1
president 2
purging 1
radical 1
refused 1
regain 1
representatives 1
return 1
rightful 1
satisfied 1
sequoyah 1
smith 1
sonora 1
southern 1
states 5
still 1
supreme 1
sweeping 1
taken 1
taking 1
territory 1
texas 1
that 1
the 17
their 1
them 1
these 1
this 1
though 1
to 10
ultimate 1
united 2
us 3
using 2
virginia 1
wants 1
war 2
west 1
whig 1
with 1
