2346676
/m/075ht4
/m/075ht4
Boris Strugatsky

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
20th 1
22nd 1
a 16
about 2
accidental 1
adjust 1
after 5
again 1
akiko 1
aleksandr 1
alien 1
all 1
almost 1
an 4
analysis 1
and 25
apart 1
apparently 1
are 4
area 1
artificial 1
as 2
aspects 1
assaultmen 1
assist 2
at 1
attempts 1
avoid 1
be 1
beast 1
been 1
before 1
begin 1
board 1
book 2
born 1
brief 1
but 1
candles 1
century 4
characters 2
chronicle 1
closely 1
collection 1
collector 1
colonization 1
commonly 1
connected 1
conspirators 1
contact 1
control 1
conveniences 1
cornucopia 1
crash 1
creature 1
data 1
decides 1
deep 2
defeat 1
delivery 1
describing 1
devices 1
disappearance 2
disappeared 1
discuss 1
discusses 1
dispersed 1
doctors 1
domestic 1
dream 1
dying 1
earlier 1
earth 5
effort 1
encoding 1
encounter 2
encounters 2
enginedriven 1
espers 1
evgeny 2
expedition 1
explain 1
exploration 1
explore 2
explores 1
fantastic 1
father 1
feature 1
first 1
flight 1
following 1
foot 1
from 3
future 4
futures 1
gennady 1
giant 1
giving 1
global 1
gnedykh 4
gorbovsky 5
great 1
greatgrandchildren 1
have 2
having 1
her 1
hind 1
his 2
homecoming 1
human 2
humanity 1
hunt 1
hurrying 1
in 9
includes 1
institute 1
interstellar 1
into 2
investigate 1
is 1
job 1
journey 1
journeys 1
killing 1
komov 2
kondratev 10
kostylin 3
langour 1
late 1
leg 1
lengthy 1
leonid 1
leonida 1
leoniders 1
life 1
lifespan 1
light 1
like 1
lin 1
local 1
long 2
lost 1
make 1
man 1
many 1
married 1
mars 3
may 1
meet 1
meeting 1
mikhail 1
most 1
moving 2
must 2
mysteries 1
mysteriously 1
mystery 1
natural 1
near 1
night 1
not 1
now 1
oceanographer 1
oceanography 1
of 24
okada 2
oldtimer 1
on 8
only 1
other 1
others 1
over 2
philosophy 1
photon 1
physics 1
pilgrims 1
place 1
plan 1
planet 2
plots 1
pol 1
progress 1
project 1
prototype 1
quicksand 1
reappearance 2
reconnect 1
recuperate 1
recurring 1
regrets 1
reintegrate 1
remote 1
report 1
result 1
returned 1
returns 1
roads 1
roadways 1
ryu 1
same 1
satellites 1
school 1
schoolchildren 1
science 1
scientific 1
sea 1
search 1
sentient 1
separation 1
sergei 2
set 1
shared 1
short 1
sidorov 3
slavin 8
society 1
space 3
spaceship 1
speed 1
spirit 2
squid 1
stagnation 1
stories 3
story 1
subject 1
surface 1
survivors 1
system 1
tagora 1
taimyr 5
take 1
takes 1
technology 1
tells 1
tests 1
the 50
their 5
they 3
this 1
through 1
thrown 1
to 11
tours 1
tries 1
two 2
various 1
vehicle 1
visit 1
visitor 1
vladislava 1
voice 1
void 1
walk 1
was 1
waseda 2
wayfarers 1
what 1
which 1
while 1
who 2
wild 1
will 1
with 5
world 1
wounds 1
years 1
you 1
young 1
