4484806
/m/0c4_zc
/m/0c4_zc
Georg Agricola
1556
{"/m/05h83": "Non-fiction"}
24 1
30 1
a 32
about 4
above 3
account 1
achieved 1
acid 1
acids 1
activity 1
actual 1
added 3
adding 1
additives 1
addresses 2
advantageous 1
advises 1
again 1
against 1
agricola 23
agriculture 1
air 1
alchemical 1
alchemists 2
alchemy 1
allow 2
alloys 1
along 1
also 14
alteratively 1
although 3
alum 1
amalgamation 1
amount 1
amounts 1
an 5
ancient 2
and 84
animal 1
annotated 1
antimony 2
any 1
appoint 1
aqua 1
architecture 2
are 42
area 1
areas 3
argues 2
arguments 3
aristocrats 1
arithmetic 1
arithmetical 1
art 3
as 15
ashes 1
assay 3
assayed 1
assaying 2
associated 1
assumes 1
astronomy 1
at 7
audience 2
augustus 1
author 1
available 2
balance 1
base 1
batteries 1
be 28
became 1
because 3
beds 1
beech 1
been 2
begun 1
being 4
bellows 2
below 1
beneath 1
beneficiated 1
beneficiation 1
bergmeister 2
between 1
big 1
bismuth 1
bitumen 1
book 19
booklet 1
books 3
both 1
bottom 1
break 1
breaking 1
brick 2
bricks 1
bring 1
broken 1
brother 1
buckets 2
burning 1
burns 1
but 7
buy 1
by 16
cages 1
calbus 1
calculations 1
called 2
calls 1
can 15
carelessness 1
carried 1
carry 1
caused 1
certain 1
chains 1
chapters 1
charcoal 2
charge 1
charged 1
chief 3
choice 1
claim 1
claims 1
classical 2
clay 1
clear 1
clearer 1
clearing 1
colour 1
colours 1
comments 1
compass 1
completely 1
completes 1
concludes 1
connected 1
connects 1
consists 2
constructed 1
containing 1
contemporary 2
continuous 1
copper 3
correct 2
counter 1
counterexamples 1
course 1
covered 5
covers 2
craft 1
cross 2
crowbars 1
crucible 2
crucibles 3
crushed 1
crushing 2
cupel 5
cupellation 6
cupels 1
danger 1
dangers 1
deals 1
death 1
deaths 1
deepest 1
deputies 1
described 12
describes 23
description 1
deserve 1
design 1
designs 4
destroyed 1
destruction 1
detail 4
detailed 3
details 1
determine 1
determining 1
diagrams 1
different 9
digging 1
direction 1
directions 1
directly 2
discovered 1
discussed 2
dismissed 1
distilling 1
divided 1
do 1
does 2
doubts 1
down 1
dowsing 1
drawing 1
draws 1
drive 1
driven 1
dug 1
earths 1
eastwest 1
economic 1
education 1
effects 1
eg 1
either 1
elder 1
elector 1
emery 1
enough 1
ensuring 1
entire 1
equipment 1
eventually 1
examples 1
existing 1
explained 1
explaining 2
explains 2
exploited 1
explored 1
exposed 1
extensively 1
extract 1
fans 1
farmed 1
fatty 1
feet 1
few 1
filled 1
finally 7
finding 1
fire 2
first 1
fixed 1
fluxes 1
followed 1
follows 1
food 1
for 21
force 1
forced 1
forehearth 2
foremen 1
forests 1
forked 1
forming 1
forms 2
formulae 1
forth 1
found 4
four 1
fraudulent 1
freiberg 1
from 12
front 2
fuel 4
full 1
fullest 1
furnace 6
furnaces 3
gained 1
gases 1
gems 2
gemstones 1
generally 1
generated 1
german 3
get 1
give 3
gives 1
glass 3
gloomy 1
god 1
gold 15
good 3
great 1
ground 3
hammers 1
handtools 1
hard 1
hardest 1
hardness 1
has 4
have 6
hazardous 1
he 20
healthy 1
hearth 1
heated 1
heating 1
hill 1
him 1
himself 2
his 6
hole 1
honorable 1
horizontal 1
horses 2
how 2
i 1
idea 1
if 3
iii 1
illustrated 2
illustrating 1
illustrations 1
important 1
in 37
indication 1
indications 1
ingredients 1
ingress 1
inherently 1
injuries 1
installed 1
instead 1
instruments 1
into 6
intrinsically 1
introduction 1
investigate 1
investor 1
involved 1
iron 3
is 53
it 10
its 3
judge 1
juices 1
just 3
kinds 1
knowledge 2
labelled 1
ladders 1
land 2
large 2
launders 1
law 1
laws 1
lead 13
learned 1
leaving 1
less 1
lift 2
lifting 3
lifts 1
lining 1
liquate 1
listed 1
lit 1
lithage 1
little 1
live 1
loads 1
lodestone 1
long 1
looking 1
loss 1
lot 1
luck 1
lying 1
machinery 2
machines 2
made 2
main 1
majority 1
make 1
making 3
man 3
manpowered 1
marks 1
masters 2
materials 1
matter 1
maurice 1
mechanically 1
medicine 1
meers 1
melting 1
mentions 2
mercury 4
metal 7
metallurgy 1
metals 12
method 2
methods 1
mine 5
mined 1
miner 2
minerals 1
miners 4
mines 10
mineworking 1
mining 8
mixed 1
mixture 1
molten 1
more 1
most 3
mountains 2
mouth 1
muffle 1
muffles 1
must 2
naming 1
native 1
navigable 1
need 1
needed 1
next 2
nitre 1
nitric 1
no 3
noble 1
none 1
not 11
notes 1
noxious 1
numerous 1
objections 1
objects 1
obscure 1
occupation 1
occupations 1
occur 1
occurs 1
of 75
off 1
official 1
officials 1
on 7
only 2
opened 1
or 16
ore 9
ores 5
other 11
others 2
out 4
overlying 1
own 1
owner 1
owners 1
packs 1
paper 1
parted 2
parting 1
patrons 1
penalty 1
perfecting 1
philosophical 1
philosophy 1
pick 1
pipe 1
piston 1
pit 1
placed 6
plankways 1
pliny 1
point 1
possible 2
poverty 1
powered 3
practice 1
precautions 1
preface 1
preferred 1
preparation 2
prepared 1
presence 1
present 1
prevent 1
princes 1
probably 1
process 2
processes 3
produce 1
produced 1
production 1
productive 1
profitable 1
profits 1
prominent 1
prospecting 1
provide 1
provides 3
pumps 3
purchase 1
range 1
rarely 3
raw 1
read 1
ready 1
rear 1
receive 1
recommended 1
recommends 2
recovered 1
references 1
regions 1
regulated 1
regulating 1
reject 1
rejects 1
relative 1
remelting 1
remove 1
removed 2
removing 1
repeated 1
replaced 1
required 2
requires 1
resmelted 1
rest 1
rich 3
richer 1
right 1
risks 1
river 1
rivers 1
roads 1
roasting 1
rock 1
rocks 1
roles 1
salt 1
saltpetre 1
salts 1
same 1
saxony 1
scale 1
scheme 1
scoop 1
scorifier 2
scorifiers 2
search 1
searching 1
section 4
secure 1
seems 1
separated 3
separately 1
separating 1
setting 1
several 4
shaft 1
shafts 7
shares 2
shed 1
shifts 1
shoring 1
should 7
show 1
showing 1
shows 1
side 1
silver 14
silverfree 1
similar 3
since 1
skimmed 1
slag 3
slags 1
sledges 1
smelted 1
smelting 6
soda 1
soft 1
softest 1
some 5
sometimes 1
sorting 1
sorts 1
source 1
specialists 1
specialized 1
started 1
stated 1
states 1
steel 1
stibium 1
stone 1
stop 1
streams 4
stringers 1
