12128164
/m/02vqq67
/m/02vqq67
Ann Weldy

18 1
a 15
about 1
admiration 1
admits 1
advantages 1
after 3
again 1
allows 2
alone 1
also 1
an 1
and 20
apartment 2
appear 1
around 1
as 3
ask 2
asking 1
assures 1
astonished 1
at 3
away 1
bars 1
be 1
beats 1
beebo 15
before 1
befriends 1
begins 1
being 2
better 1
betty 1
between 2
bogardus 1
bridge 1
briefly 1
brinker 1
businessminded 1
but 2
by 4
california 2
can 3
causes 1
celebrating 1
child 1
city 1
clearly 1
columnists 1
comes 1
company 1
cooks 1
couple 1
creepy 1
cruelly 1
cuts 1
days 1
decide 1
delivering 1
delivery 1
dissatisfies 1
divulges 1
east 1
end 1
epileptic 1
escorts 1
essentially 1
evening 1
family 1
farm 1
fascination 1
father 1
feet 1
find 2
finds 1
for 6
forced 1
frank 1
from 1
game 1
gap 1
gay 1
get 1
gets 1
goes 1
gossip 1
greenwich 1
guilt 1
handsome 1
happened 1
happens 1
happily 1
has 2
he 2
head 1
helps 1
her 22
herself 1
him 1
his 2
how 1
husband 4
in 11
infatuated 1
intercepted 1
is 12
it 4
jack 4
jeannbsp 1
job 1
join 1
kept 1
knows 1
later 1
learns 1
leaving 2
lesbian 1
lesbians 1
little 1
live 2
lives 1
lonely 1
love 1
loves 1
make 1
mann 1
men 1
miss 1
more 1
morning 1
move 1
movie 1
must 1
name 1
needs 1
negotiating 1
new 3
night 1
obvious 1
of 6
old 1
on 2
once 1
one 2
open 1
outrageous 1
overconfidence 1
pants 1
papers 1
party 1
past 1
paula 5
persona 1
pete 2
pizzas 1
place 1
playing 1
precarious 1
pronounce 1
proposes 1
public 4
questions 2
rage 1
ranch 1
rather 1
reacts 1
real 1
recognizes 1
recover 1
rehearses 1
return 1
returns 1
roused 1
rumors 1
secret 3
seduces 1
see 2
seen 1
sees 1
seizure 1
several 1
sexuality 1
she 14
show 3
son 3
sonnbsp 1
space 1
star 1
start 1
stay 1
streets 1
suspicion 1
tall 1
teenaged 1
television 1
tell 1
tells 1
terrible 1
that 5
the 12
them 2
themselves 1
they 1
thrilled 1
time 1
to 20
touched 1
treated 1
turn 1
unable 1
unleashed 1
unnerved 1
until 1
unwilling 1
up 1
upon 1
vacillating 1
venus 15
verifies 1
village 2
vindictive 1
vulnerability 1
vulnerable 1
wandering 1
warns 1
was 1
wear 1
welling 1
what 2
when 1
where 1
while 2
who 7
whom 1
wife 1
wisconsin 1
with 9
woman 2
women 1
years 1
york 2
