9648871
/m/02pn263
/m/02pn263
Lee Child
2001-06-21
110 1
a 13
aaron 1
about 1
after 3
agrees 1
al 2
alice 2
also 3
amanda 1
america 1
an 1
and 24
are 1
arrest 1
arrive 1
at 1
attempting 1
attorney 2
authorities 1
away 2
back 3
background 1
bar 2
be 1
beat 1
beats 1
because 1
been 2
begins 1
being 2
between 1
border 1
both 1
boy 1
breaks 1
brother 1
but 4
by 4
californian 1
called 2
car 2
carmen 11
claims 1
colleagues 1
comes 1
coming 1
composed 1
confesses 1
confession 1
county 1
cross 1
daughter 1
day 1
days 1
decides 1
degree 1
denies 1
despite 1
dislike 1
district 1
do 2
does 1
down 1
draws 1
during 1
ellie 3
eugene 2
even 1
eventually 3
eye 1
family 1
fight 1
finding 1
finger 1
fire 1
first 1
following 1
for 1
free 1
friendthat 1
from 2
get 1
gets 3
gives 1
go 1
greer 2
greers 1
gun 1
hack 1
has 2
have 2
he 4
heat 1
help 2
helps 1
her 5
heritage 1
him 5
hired 2
hires 1
his 1
hitch 1
home 1
house 1
how 1
however 1
husband 2
illegal 1
immigrants 1
in 5
incarcerated 1
information 1
initially 1
innocence 1
into 1
introduction 1
is 7
it 3
jack 1
keep 1
kidnapper 1
kidnapping 1
kill 2
killed 3
killing 4
kills 1
later 1
lawyer 1
leading 1
leaving 1
legal 1
liar 1
lift 1
live 2
local 1
make 1
manages 1
may 1
member 1
members 1
men 1
mexican 1
mexico 1
military 1
mother 1
move 1
murder 1
named 2
needs 1
nonetheless 1
nose 1
not 1
of 12
off 1
officer 2
oldest 1
on 4
only 1
or 3
out 3
pecos 1
pick 1
picked 1
police 3
prison 1
problemher 1
proceed 1
prove 1
proves 1
provoked 1
public 1
ranch 4
ranchers 2
reacher 17
reason 1
receive 1
red 1
refuses 1
release 1
rest 1
reveals 1
rid 1
second 1
see 1
set 1
she 6
shot 1
sloop 12
so 1
somebody 1
soon 1
state 2
still 1
take 2
takes 1
taxevading 1
teach 1
team 8
teams 1
texas 1
that 2
the 37
their 1
then 1
there 2
think 1
thinks 1
third 1
this 2
threatened 1
three 1
threesome 1
thrown 1
time 2
to 21
track 1
tracking 1
troopers 1
trying 1
turn 1
two 4
up 6
used 1
walker 2
warm 1
was 2
watchers 1
watching 2
we 1
welcome 1
well 1
wellknown 1
what 1
when 1
where 2
whilst 2
who 3
will 1
with 2
work 2
works 1
youthkill 1
