32940107
/m/0h54pgb
/m/0h54pgb


{"/m/02p0szs": "Historical fiction"}
a 10
about 2
accused 1
after 4
all 1
america 1
american 2
an 3
and 30
antirevolutionary 2
apartment 2
apologize 1
are 5
aristocracy 1
around 1
arrested 3
arrived 1
as 10
assisting 1
associated 1
at 5
attempts 1
away 4
back 1
barter 1
be 3
beating 1
became 1
because 3
before 3
began 1
beginning 1
begins 2
being 4
believe 1
better 1
blackboard 1
blankets 1
bought 1
bourgeois 3
branded 1
by 3
came 2
care 1
catch 1
caught 1
chairman 2
chang 7
changs 1
chest 1
children 1
china 2
class 2
close 1
closest 1
clothing 1
colleague 1
comarade 1
commit 1
compound 1
comrade 3
conducts 1
constantly 2
contact 1
controversial 1
could 1
counterrevolutionary 1
cultural 3
cut 2
day 2
died 1
dinner 1
displaying 1
doctors 1
door 1
dr 6
drowning 1
during 2
emergency 1
english 1
enough 1
escape 1
family 1
farms 1
father 10
fearful 1
finally 1
for 5
forced 7
free 1
friend 1
from 4
gang 2
gao 2
gaos 1
gardener 1
gets 2
girl 1
go 2
goods 1
got 1
government 1
guard 1
guards 1
had 3
haggle 1
hair 4
harassed 1
he 3
her 23
herself 1
high 1
him 3
himself 1
his 2
home 1
hong 1
hospital 3
however 1
hushed 1
in 12
infected 2
infested 1
into 4
is 10
janitor 1
jiang 2
join 1
kept 1
kong 1
labor 1
later 1
let 1
li 4
lice 3
ling 20
listen 2
live 1
living 1
long 1
longer 1
look 1
mail 1
make 1
mao 2
maos 1
march 1
marked 1
mats 2
means 1
meanwhile 1
member 1
mindset 1
more 1
morning 1
mother 5
moved 1
moves 1
moving 1
news 1
next 2
night 1
nights 1
nine 1
niu 6
no 1
not 1
of 12
officer 3
old 2
on 4
one 3
operating 1
operations 1
out 1
over 1
overthrow 1
parents 1
part 2
party 1
pictures 1
plotting 1
political 1
presence 1
publicly 1
putting 1
qing 2
radio 2
ration 1
receives 1
red 1
released 1
removed 1
rescue 1
rescued 1
retaliates 1
reunited 1
revolution 4
revolutionaries 1
revolutionary 2
room 4
school 3
schoolbag 1
sent 1
she 2
shopping 1
shortly 5
shows 1
six 1
sleeps 1
smith 1
sneak 1
society 1
speak 1
states 1
study 1
such 1
suicide 1
surgery 1
sympathizers 1
take 2
taken 3
teach 1
teacher 1
than 1
that 3
the 34
them 1
then 2
there 3
thereafter 2
they 1
this 1
through 1
throw 1
thrown 1
tickets 1
time 2
tired 1
to 21
together 1
topics 1
town 2
tries 2
trying 1
underneath 1
united 1
unknowing 1
unscathed 1
up 1
upper 1
used 1
via 1
voice 1
voices 1
walking 1
was 12
weeks 2
well 3
were 2
when 3
which 1
who 2
whose 1
wife 1
will 1
with 10
work 1
worked 1
working 1
would 3
writer 1
year 1
young 1
zedong 1
