3237183
/m/090dlp
/m/090dlp
Michael Craig
2005
{"/m/05h83": "Non-fiction"}
100000 2
1000020000 1
15 1
16 1
2001 1
2004 1
400000 1
a 7
about 1
against 1
all 1
also 1
alternates 1
and 16
andrew 1
andy 2
any 1
are 1
as 1
asked 1
at 4
atmosphere 1
back 1
beal 10
because 1
begins 1
bellagio 2
besides 1
between 2
book 5
brunson 1
but 1
called 1
calls 1
can 1
cash 1
casino 1
chip 2
chronicles 1
coming 1
corporation 1
course 1
days 1
decide 1
decides 1
delves 1
dollars 3
down 6
driving 1
else 1
ends 3
enjoys 1
ever 1
everybody 1
face 1
february 1
few 1
first 1
five 1
flashes 1
for 2
forrest 4
from 1
game 4
give 1
go 1
group 3
had 1
hand 1
he 7
headsup 1
highest 3
him 1
his 4
hundred 1
in 4
intensely 1
into 1
is 4
it 3
join 1
larger 1
las 2
last 2
like 1
loses 1
lost 1
luck 1
makes 1
many 1
march 1
match 3
matches 2
meets 1
men 1
million 2
money 1
more 1
most 1
nobody 1
not 1
nothing 1
occasionally 1
of 9
on 1
opponent 1
originally 1
other 2
out 1
outside 1
over 2
part 1
personal 1
personnel 1
play 3
played 1
player 1
players 6
playing 1
poker 10
pool 1
prevent 1
professional 5
professionals 2
pros 1
questions 1
reese 3
rest 1
returns 1
room 4
selected 1
single 1
sit 2
sits 2
sitting 2
so 2
stakes 2
stand 1
starts 1
stories 1
story 1
straight 1
table 1
ted 3
tell 1
tells 1
than 2
the 32
their 3
then 5
there 1
they 2
thinking 1
thought 1
thousand 1
three 1
throughout 1
time 2
times 1
to 10
todd 1
top 3
trains 1
two 3
unreachable 1
up 3
vegas 2
visited 1
vows 1
wants 1
was 4
when 2
which 2
who 2
why 1
winning 3
with 5
without 1
would 1
years 2
