726557
/m/0360gz
/m/0360gz
John Updike
1984-04-12
{"/m/014dfn": "Speculative fiction"}
160s 1
2008 1
a 3
acquired 1
after 2
alexandra 1
alfred 1
and 4
apparently 1
arrival 1
being 1
brother 1
by 4
cancer 1
character 1
chris 1
coven 1
creating 1
darryl 4
death 1
devillike 1
doubt 2
each 2
eastwick 3
encouraging 1
eventually 1
fictional 1
flees 1
follows 1
friend 1
giving 1
have 1
he 2
her 2
his 2
horne 1
husbands 1
ideal 1
in 7
innocent 1
is 1
island 1
jane 1
jenny 2
john 1
judgement 1
knopf 1
late 1
leave 1
leaves 1
leaving 1
left 1
lover 1
magic 1
marries 1
men 1
mysterious 1
october 1
of 6
on 1
or 1
peace 1
play 1
powers 2
published 1
relationships 1
relative 1
resolve 1
revenge 1
rhode 1
rougemont 1
scandal 1
seduces 1
self 1
sense 1
sequel 1
set 1
share 1
smart 1
spofford 1
story 1
strained 1
sukie 1
summon 1
the 12
their 10
them 1
they 2
three 1
through 1
to 3
town 4
unexpectedly 1
until 1
updike 1
upset 1
van 1
wake 1
was 1
when 1
who 1
whom 1
widows 1
witches 3
with 2
women 2
young 1
younger 1
