32982043
/m/0h51y8r
/m/0h51y8r
Neal Stephenson

{"/m/017rf8": "Techno-thriller"}
a 45
abdallah 1
aboard 1
achieved 1
across 1
activities 1
actual 1
address 1
administrators 1
adopted 1
affects 1
after 5
aftermath 1
against 1
agent 1
aim 1
alignments 1
alive 2
all 3
alone 1
already 1
also 5
amendment 1
americans 1
an 7
and 58
annual 1
another 1
anticipation 1
any 1
apartment 3
are 5
around 3
arriving 1
as 24
assassinating 1
assemble 1
assignments 1
assist 1
assistance 3
associates 1
at 5
attack 1
attackers 1
attempt 4
attempts 1
author 2
authors 1
back 1
backstory 1
bait 1
balance 1
battle 2
battling 1
be 4
become 1
been 4
before 3
begin 2
begins 1
behind 2
being 1
billion 1
black 1
board 1
boat 2
bomb 2
border 3
both 3
boyfriend 1
brief 1
brightly 1
bring 1
brings 1
british 1
broker 1
brother 2
brought 3
building 3
but 4
buy 1
by 7
cafe 1
called 2
cambridge 1
camp 1
can 2
canada 1
canadian 1
captive 1
card 1
cat 1
caught 1
causes 1
cell 2
cells 2
chance 1
chanced 1
chancing 1
chaos 1
character 3
characters 1
chase 1
chequered 1
china 5
chinese 1
christian 1
churns 1
cia 1
city 3
civilians 1
client 1
close 1
closes 1
coerces 1
coincidentally 1
collapse 1
colorbased 1
colored 1
colors 1
columbia 1
comes 1
common 1
community 1
company 2
comply 1
composed 1
compromised 1
conference 1
consequence 1
consultant 1
contact 1
contains 1
contentious 1
continues 2
conventional 1
converge 2
converting 1
copy 1
corresponding 1
costello 1
counterpart 1
credit 1
crew 2
criminal 1
crossed 1
crossing 1
crucial 1
csongor 5
currency 2
database 2
daughter 1
deal 2
dealing 1
decides 1
decrypt 1
demolishing 1
departs 1
derived 1
described 1
designed 1
desperate 1
destructive 1
detonates 1
deviating 1
directing 1
dissuade 1
distraction 1
dock 1
dodge 1
dollars 1
don 1
down 2
drag 1
driver 1
drop 1
drugs 1
during 1
earthtoned 2
economic 1
elusive 1
employer 1
encounter 1
encrypting 1
end 3
ends 1
enough 1
entry 1
equipment 1
eritrean 1
escape 1
escapes 1
eventually 1
everybody 2
evil 1
exchange 2
explained 1
explosives 1
extensive 1
extorted 1
extorting 1
extortion 1
extract 1
face 1
fail 1
fails 1
fallout 1
fame 1
family 3
fanatics 1
fantasy 2
fantasythemed 1
farmers 2
farming 1
figure 1
files 2
find 6
finds 1
fire 1
firefight 1
first 2
flee 3
flying 1
