275384
/m/01p80f
/m/01p80f
Terry Pratchett
1994
{"/m/04rlf": "Music", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 7
about 1
accompany 1
addictive 1
adopted 1
after 2
afterward 1
afterwards 1
agrees 1
aka 1
all 3
also 1
an 1
and 5
angry 1
any 1
as 2
asphalt 1
audience 1
band 8
bands 1
become 1
becomes 2
bud 1
buddy 4
but 2
by 5
can 1
career 1
cart 1
cash 1
celyn 1
cmot 1
complications 1
concert 2
crazed 1
cutmeownthroat 1
daughter 1
death 3
demise 1
destiny 2
destroying 1
dibbler 3
die 1
disc 2
discovered 1
discovers 1
discworld 1
do 1
driven 1
dubbed 1
ensue 1
especially 1
essence 1
etc 1
falls 2
famous 1
fans 1
fast 1
figures 1
first 2
flees 1
follows 1
for 2
forced 1
forget 1
formed 1
free 1
freed 1
from 4
glamorous 1
gorge 1
granddaughter 1
grandfather 1
group 1
guild 1
guitar 1
have 1
he 4
her 3
heritage 1
him 1
hires 1
his 5
holiday 1
holly 2
how 1
husband 1
ignorant 1
imp 1
in 13
intervenes 1
into 1
is 6
its 2
keeping 1
killing 1
large 1
largest 1
leader 1
live 1
love 1
make 1
manager 1
means 1
meantime 1
meanwhile 1
memories 1
missing 1
money 1
moods 1
more 1
mort 1
much 1
music 4
musical 1
musicians 2
name 1
new 2
number 1
of 12
on 2
one 1
original 1
out 1
participate 1
passengers 1
philosophical 1
possessed 1
possible 1
pursued 1
recent 1
response 1
riding 1
roadie 1
rock 1
rocks 4
sausagesinabun 1
save 2
search 1
selfdestructive 1
selling 1
she 2
shortlived 1
source 1
spirit 1
stand 1
star 1
story 1
susan 2
takes 1
the 29
their 3
them 2
thus 1
time 1
to 9
tour 1
tries 2
troll 1
troubling 1
truth 1
tshirts 1
wants 1
was 1
way 1
welsh 1
when 2
which 2
while 1
who 2
whom 1
with 5
y 1
young 1
ysabell 1
