5482401
/m/0dntfb
/m/0dntfb
Frederik Pohl
1959-04
150s 1
4 1
82 1
a 3
acres 1
american 1
and 7
answer 1
apparently 1
are 1
around 1
as 1
attempts 1
attitudes 2
authorities 1
authority 1
back 1
be 1
become 1
before 1
begin 1
benign 1
both 1
bubbles 3
by 3
children 1
china 1
chinese 5
chinesians 1
clouds 1
colonization 2
communicate 1
confining 1
conquer 1
contaminates 1
corralled 1
could 1
coupled 1
deadly 1
decrees 1
demonstrate 1
die 1
down 2
drift 1
dropped 1
each 1
early 2
entity 1
ethnic 1
eventually 2
evidently 1
exist 1
exploding 1
explosion 1
fatalism 1
fiction 1
first 1
float 1
form 1
frame 1
from 2
getting 1
goonhogo 1
government 2
has 2
have 1
herd 1
herds 1
how 1
however 1
human 1
identity 1
imagined 1
implied 1
in 6
individual 1
ingenuity 1
inhabitants 1
instrumentality 2
interview 1
into 1
is 4
it 1
killing 1
km 1
landing 1
landscape 1
large 1
longer 1
loudies 2
mainstream 1
many 1
meanwhile 1
men 1
million 1
mission 1
more 1
native 1
no 3
nonchinese 1
numbers 2
obedience 1
of 10
one 1
out 1
outperform 1
parachute 1
parachuting 1
penetrated 1
planet 1
planting 1
point 1
predominant 1
probes 1
process 1
produce 1
produces 1
progress 1
replaced 1
response 1
rest 1
rice 1
ruler 1
same 1
science 1
seeds 1
selfreliant 1
sentient 1
separate 1
setting 1
sheer 1
simple 1
smith 1
space 2
species 1
starve 1
story 2
stymied 1
such 1
surface 1
that 6
the 29
their 1
them 3
they 2
thousand 1
time 3
to 4
together 2
type 1
under 1
useless 1
venus 3
way 1
weight 1
where 1
who 1
wiping 1
with 3
women 1
yankee 1
