22546137
/m/05zlvys
/m/05zlvys
Louie Mar Gangcuangco
2006
{"/m/01qxvh": "Romance novel"}
6 1
a 11
about 1
against 2
ago 1
also 1
an 3
and 16
another 1
apart 1
around 1
as 2
at 4
awareness 1
bar 2
barn 2
be 1
became 2
because 1
before 1
being 1
best 1
between 1
bid 1
big 2
bitter 1
broke 1
brutal 1
but 5
by 1
campus 1
changed 1
classmate 1
clear 1
cock 1
colors 1
comfort 1
completely 1
complexity 1
containing 1
could 2
crumpled 1
dana 1
dark 2
dave 7
david 1
de 1
destroyed 1
did 2
dignity 1
doctor 1
during 1
encounter 1
especially 1
event 1
everything 1
fairy 1
fall 1
family 1
fell 1
felt 1
flew 1
fliers 1
floor 1
flying 1
for 2
forever 1
former 1
found 1
framed 1
freshman 1
friend 1
friendship 1
from 3
fun 1
gave 1
gay 3
godmother 1
goes 1
goodbye 1
graduated 1
great 1
guy 3
hate 1
he 14
heart 1
high 1
him 7
his 10
hivaids 2
hope 1
hottie 1
how 2
hundred 1
in 10
incomparable 1
infected 1
information 1
innocent 1
intarmed 2
into 2
is 3
it 2
jesus 1
john 1
kept 1
knew 2
left 1
libelous 1
liberated 1
life 2
lifechanging 1
like 1
looked 1
love 6
made 2
malate 5
manila 2
men 2
merciless 1
met 2
michael 1
more 1
most 1
moved 1
name 1
never 3
nights 1
not 2
of 10
on 3
only 1
orosanakpil 4
out 1
outgoing 1
painful 1
part 1
philippines 1
plan 1
premises 1
presented 1
prevent 1
raped 1
revelations 1
revenge 2
revolves 1
rivalry 2
room 2
ross 5
rural 1
school 2
second 1
sending 1
served 1
sexcapades 1
she 1
shocking 1
side 1
sinner 1
slowly 1
something 1
special 1
spent 1
started 1
stayed 1
steamy 1
stethoscope 1
story 3
streets 1
strong 1
studies 1
successful 1
sucker 1
surely 1
that 4
the 16
them 1
themed 1
then 4
thought 2
time 1
times 1
to 4
took 1
toughest 1
towards 1
trust 1
turned 3
unexpected 1
unfaithful 1
university 1
urban 1
was 3
while 1
who 6
why 5
with 3
world 1
years 1
yourself 1
