914549
/m/03pgkw
/m/03pgkw
Jane Austen

{"/m/02ql9": "Epistolary novel", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
1thcentury 1
a 5
active 1
adulteress 1
all 1
also 1
although 2
an 2
and 8
are 2
attractive 1
austen 1
author 1
beautiful 1
best 1
but 1
character 1
characterthe 1
close 1
complete 1
contrast 1
daughter 1
describes 1
different 1
early 1
emma 1
ending 1
epistolary 2
feature 1
few 1
focus 1
for 4
form 1
has 2
her 2
heroine 1
herself 2
husband 2
in 4
includes 1
intelligent 1
is 6
issues 1
its 1
lady 3
literature 1
main 1
maintaining 1
man 1
mansfield 1
marriages 1
married 1
men 1
mildly 1
moral 1
morality 1
more 1
much 1
never 1
new 1
not 1
novel 2
of 3
older 1
on 1
one 1
only 1
originally 1
outlook 1
parallels 1
park 1
possible 1
publication 1
published 1
punished 1
relationship 1
reward 1
role 1
romantic 1
schemes 1
seeks 1
selfish 1
sense 2
sensibility 2
severely 1
she 5
significantly 1
sixteen 1
standards 1
study 1
submitted 1
subverts 1
suitors 1
susan 2
susanas 1
than 3
that 1
the 12
their 1
theme 1
this 1
to 2
together 1
traditional 1
trap 1
treated 1
tries 1
very 1
was 1
which 1
while 1
who 3
widowed 1
with 3
witty 1
wives 1
woman 1
work 2
written 1
years 1
younger 1
