6813853
/m/0gq83x
/m/0gq83x
Sharadindu Bandyopadhyay

a 11
according 2
ajit 4
almost 1
already 1
also 2
an 4
and 17
any 1
anything 1
applied 1
around 2
arrogant 1
aruduous 1
as 2
asked 1
at 4
aware 1
away 1
bahadur 1
ballygunge 1
be 5
became 1
because 3
been 8
being 1
belonging 1
bengal 1
boasted 1
both 1
bottom 1
break 1
broke 1
brother 1
built 1
busted 1
but 7
by 7
byomkesh 12
calcutta 2
came 2
casually 1
challenge 1
chance 1
checked 1
clan 1
conclusion 1
confident 1
constant 1
consumed 1
could 3
crime 1
current 1
day 2
days 1
detected 1
diamond 12
did 4
didnt 2
different 1
digindra 1
discovered 1
disheartened 1
display 1
does 1
eldest 1
end 2
enquiry 1
entire 1
established 1
even 1
ever 1
exactly 1
examine 1
exchanged 1
exhibited 1
eye 1
fake 1
father 1
featuring 1
few 1
figurine 8
figurines 1
find 2
for 5
found 1
friutless 1
frontier 1
generations 1
get 2
gone 1
greed 1
guards 1
had 11
harder 1
have 3
he 26
heart 1
heir 3
heirapparent 1
heirloom 1
hidden 2
high 1
him 1
his 8
home 3
house 5
humiliated 1
if 2
immediate 1
immediately 2
in 5
including 1
inconspicuous 1
inferred 1
initials 3
inside 2
invited 1
involve 1
it 8
items 1
latter 1
lavish 1
legend 2
let 1
line 3
living 1
looked 1
lose 1
loss 1
lost 1
louvre 1
made 1
major 2
media 1
might 1
minor 1
mixed 1
monthly 1
most 1
narayan 2
nataraj 2
nephew 1
next 1
north 1
not 4
nothing 1
notice 1
noticed 2
notified 1
novels 1
number 1
of 23
offence 1
offered 1
often 1
on 4
one 5
only 2
or 2
other 1
out 1
painter 1
paris 1
pension 1
placed 1
plaster 2
plot 1
possession 3
post 1
press 1
priceless 2
protected 1
put 1
quite 1
rai 1
realized 1
received 1
recover 3
replace 1
replaced 2
requested 1
returned 3
revolves 1
room 1
roy 14
ruler 2
rulers 1
rules 1
said 2
same 1
scorn 1
sculptor 1
sculptures 1
search 2
searching 1
secrecy 1
secretary 1
seemantoheera 1
seemed 1
services 1
seven 1
since 2
sir 12
sizes 1
sleightofhand 1
small 1
so 2
sole 1
son 1
sought 1
stared 1
staring 1
steal 1
still 1
story 1
succession 2
such 1
table 3
taken 1
task 1
that 12
the 62
theft 1
then 4
there 3
they 2
this 4
thoroughly 1
though 2
to 22
took 3
tridibendra 3
tridibendran 1
turned 1
twists 1
uncle 1
unlike 1
untrained 1
up 1
used 1
utmost 1
various 1
very 1
violent 1
walls 1
want 2
was 11
wasnt 1
week 1
well 2
were 5
when 2
where 1
which 2
while 3
who 2
wind 1
with 5
without 1
work 1
worked 1
workofart 1
would 2
wouldnt 1
young 1
younger 1
