10577703
/m/02qj99b
/m/02qj99b
Patrick McGrath
1989-05
{"/m/039vk": "Gothic fiction", "/m/014dfn": "Speculative fiction"}
and 4
around 1
as 1
at 2
bed 1
began 1
believes 1
but 1
butler 1
by 1
cause 1
coal 1
communicate 1
crook 1
daughter 1
disappearance 1
engagement 1
estate 1
events 1
fianc 1
fledge 1
followed 1
harriet 1
her 1
him 2
his 1
hugo 3
in 1
investigation 1
is 2
lady 1
listens 1
lord 1
manor 2
murder 1
narrates 1
new 1
not 1
note 1
of 5
only 1
particular 1
quirky 1
recent 1
recounting 1
replace 1
seeking 1
sir 3
stately 1
subsequent 1
tale 1
that 1
the 7
this 1
those 1
to 2
troubles 1
unable 1
vice 1
watches 1
wheelchairusing 1
whom 1
with 2
