4777482
/m/0cmt6c
/m/0cmt6c
Louis Sachar
2006-01-10
2 2
4later 1
a 16
able 1
about 3
accepts 1
accompanied 1
accosted 1
after 4
afterward 1
again 1
agreed 1
agrees 2
albeit 1
all 1
already 1
also 1
although 1
an 2
and 23
angry 1
another 1
approached 1
are 1
argument 1
arm 1
armpit 26
armpitthis 1
around 1
arrives 1
as 3
asks 2
at 4
attacks 1
austin 2
avert 1
away 1
backstage 1
be 1
beat 1
beaten 1
because 3
believes 1
better 1
bodyguard 1
both 1
boys 1
broken 1
build 1
business 1
but 3
buyer 2
by 12
camp 2
can 2
cannot 1
cant 1
care 1
caring 1
case 1
cerebral 1
china 1
closing 1
coffee 1
come 1
concert 4
continue 1
counterfeit 5
cream 1
crush 1
culprit 1
date 1
day 1
days 1
debbie 1
decides 2
deleon 3
department 1
detective 2
develops 1
did 1
digging 1
discovered 1
discovering 1
do 1
does 1
earlier 1
eighteen 1
el 1
ends 2
eventually 1
explain 1
expose 1
felix 1
few 1
fight 1
fire 1
first 2
for 7
frame 1
francisco 2
fred 1
friends 1
from 7
gained 1
genius 1
genuine 2
getting 1
ginny 4
girl 2
give 2
gives 2
go 1
goes 1
got 2
green 2
had 1
handcuffed 1
has 3
having 2
he 13
hears 1
her 9
here 1
him 5
himself 2
his 6
home 2
how 1
hurt 3
ice 1
if 1
in 6
informs 2
instead 1
intervenes 1
invents 1
invited 1
invites 1
is 15
it 1
jail 1
jealous 1
jerome 3
johnson 1
join 1
kaira 17
kill 1
knows 1
lake 2
landscaping 1
last 2
later 3
letter 4
life 2
lifestyle 1
living 1
loan 1
love 3
made 1
making 1
manager 2
mayor 2
mcdonald 1
meanwhile 2
meets 1
missing 1
money 3
months 1
moses 1
murder 1
neighbor 1
newberg 2
next 1
not 1
of 4
on 3
one 2
ones 1
only 1
over 1
paisley 2
palsy 1
person 1
piano 1
plan 1
planned 1
plans 1
plots 1
police 3
pop 1
prevented 1
put 1
questions 1
receives 1
recovers 1
relationship 1
release 1
remaining 1
remembers 1
results 1
reveals 1
revolve 1
rex 1
san 2
save 1
says 1
scalping 1
scheme 2
school 1
seems 1
seizure 1
sell 2
sellers 1
selling 2
sent 1
seriously 1
set 1
severely 1
share 1
she 11
sing 2
singer 1
sings 1
situation 1
small 1
so 3
some 1
song 1
stabbed 1
stable 1
star 1
stepfather 1
steps 1
still 2
storming 1
suffered 1
summer 1
survives 1
suspicion 1
take 2
taking 1
tatiana 3
teen 1
tenyearold 1
texas 1
that 3
the 26
them 2
then 1
theodore 1
they 1
this 3
though 1
threaten 1
throwing 1
ticket 2
tickets 8
time 2
to 27
together 1
told 1
touched 1
towards 1
town 1
trenches 1
tried 1
tries 1
truth 1
trying 1
turns 1
two 3
unable 1
unless 1
unwilling 1
up 1
upcoming 1
upon 2
visited 1
visits 1
wants 1
was 1
washburn 1
watch 1
weakly 1
well 1
when 2
where 1
which 1
while 2
who 3
will 1
with 2
work 1
working 1
write 1
xray 6
years 1
